Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Excluded Reasons,,,,,,,,
Specific contributions of various muscle fibre types to human muscle performance: an in vitro study.,Bottinelli R; Pellegrino MA; Canepari M; Rossi R; Reggiani C,"Human skeletal muscle fibres can be divided in five groups: 1, 1-2A, 2A, 2A-2B and 2B, by using myosin heavy chain (MHC) isoforms as molecular markers. This study aimed to define the contribution of each fibre type to the contractile performance of human muscles. Single fibre segments were dissected from bioptic samples of vastus lateralis and chemically skinned. Force-velocity properties, including isometric tension (P0), maximal shortening velocity (Vmax), maximum power output (Wmax) and the velocity at which Wmax is reached (Vopt), were determined at maximum calcium activation. Among these parameters Wmax showed the largest range of variation: about nine times between 2B and slow fibres. Vopt also showed large (about four times) and significant variations between fibre types. Force development at submaximum calcium activation was studied and force-pCa curves were obtained for each fibre type. Calcium sensitivity was greater in 2B than in 2A and in slow fibres. The slope of the force-pCa curve was greater in fast than in slow fibres. At the end of the experiment the MHC isoform composition of each fibre segment was determined by gel electrophoresis. The functional properties of each fibre type are discussed in the light of the motor unit recruitment mechanism to understand their possible physiological role.",1999,Apr,J Electromyogr Kinesiol,9,2,87-95,,10.1016/s1050-6411(98)00040-6,10098709,#2660,Bottinelli 1999,Exclusion reason: specific tension from single fibers; ,Fiber,ST of muscle fibers,,,,,,,,
Post-operative effects on insulin resistance and specific tension of single human skeletal muscle fibres.,Degens H; Soop M; Höök P; Ljungqvist O; Larsson L,"Surgery and accidental trauma are associated with a transient period of insulin resistance, substrate catabolism and muscle weakness. In the present study, we evaluated the changes in the force-generating capacity of chemically skinned single muscle fibres following abdominal surgery. Biopsies of the m. vastus lateralis were obtained in three patients 1 day before and 3 or 6 days after surgery. Part of the biopsy was frozen for histochemical analysis of the fibre cross-sectional area (FCSA) and myofibrillar protein content, and another part was used for single-fibre contractile measurements. All patients developed insulin resistance following surgery. The maximum velocity of unloaded shortening of single muscle fibres did not change following surgery. The FCSA did not decrease after surgery, as determined either from histochemical sections or from single fibres measured at a fixed sarcomere length of 2.76+/-0.09 microm (mean+/-S.D.). Further, the force-generating capacity of the single fibres, measured as maximal Ca(2+)-activated force (P(0)) or as P(0) normalized to FCSA (specific tension), remained unchanged, as did the myofibrillar protein content of the muscle. In conclusion, the muscle weakness associated with post-operative insulin resistance is not related to a decreased specific tension or a loss of myofibrillar proteins. Other potential cellular mechanisms underlying post-operative weakness are discussed.",1999,Oct,Clin Sci (Lond),97,4,449-55,,10.1042/cs0970449,10491345,#2670,Degens 1999,Exclusion reason: specific tension from single fibers; ,Fiber,ST of muscle fibers,,,,,,,,
Specific tension of human elbow flexor muscles.,Edgerton VR; Apor P; Roy RR,"Human muscle has a specific tension that is similar to that of other mammalian skeletal muscle. Further, it appears that with the appropriate application of present imaging capabilities, the specific tension of human muscle can be defined more precisely.",1990,,Acta Physiol Hung,75,3,205-16,,,2392943,#2678,Edgerton 1990,Exclusion reason: PCSA not directly measured; ,,PCSA calculated from cadavers,,,,,,,,
Training-induced changes in muscle architecture and specific tension.,Kawakami Y; Abe T; Kuno SY; Fukunaga T,"Five men underwent unilateral resistance training of elbow extensor (triceps brachii) muscles for 16 weeks. Before and after training, muscle layer thickness and fascicle angles of the long head of the triceps muscle were measured in vivo using B-mode ultrasound, and fascicle lengths were estimated. Series anatomical cross-sectional areas (ACSA) of the triceps brachii muscle were measured by magnetic resonance imaging, from which muscle volume (Vm) was determined and physiological cross-sectional area (PCSA) was calculated. Elbow extension strength (isometric; concentric and eccentric at 30, 90 and 180 degrees.s-1) was measured using an isokinetic dynamometer to determine specific tension. Muscle volumes, ACSA, PCSA, muscle layer thickness and fascicle angles increased after training and their relative changes were similar, while muscle and fascicle length did not change. Muscle strength increased at all velocities; however, specific tension decreased after training. Increase in fascicle angles, which would be the result of increased Vm and PCSA, would seem to imply the occurrence of changes in muscle architecture. This might have given a negative effect on the force-generating properties of the muscles.",1995,,Eur J Appl Physiol Occup Physiol,72,2-Jan,37-43,,10.1007/BF00964112,8789568,#2679,Kawakami 1995,Exclusion reason: Specific tension value not reported; ,Whole muscle,ST calculation error,,,,,,,,
Mechanical properties of young and elderly human muscle.,Davies CT; Thomas DO; White MJ,"The electrically evoked isometric properties of the triceps surae have been studied in young (22 yr) and elderly (69 yr) men and women. The results show that the triceps surae of elderly subjects had an increased time to peak tension (TPT) of the twitch, a lower specific tension (force/cross section area), and showed a greater relative force loss when subjected to a standard ""fatigue"" test procedure than young triceps surae. The respective figures for TPT, specific tension, and fatigue index (FI) were 147 +/- 15 ms (male), 143 +/- 8 ms (female), 19.5 N/cm2 and 0.52 +/- 0.16 (male), 0.37 +/- 0.09 (female) in the elderly, compared with 118 +/- 14 ms (male), 132 +/- 11 ms (female), 32.9 N/cm2 and 0.67 +/- 0.11 (male), 0.62 +/- 0.09 (female) in their younger counterparts. The peak rates of rise (delta P50, delta P200) and relaxation (delta PR50, delta PR200) of tetani at 50 Hz and 200 Hz were slower (p less than 0.05) in the elderly group. The delta P50 and delta P200 were inversely associated (r = 0.76 and -0.50 respectively) with TPT, and the half relaxation time (1/2RT) of the maximal twitch was related to delta PR50 (r = 0.53). The decrease of tetanus relaxation rate during the 2 min fatigue test (delta PRF) was greater in the elderly than the young and was positively associated (r = 0.74) with FI. It is concluded that elderly muscle is weaker, more slowly contracting and fatigable than that of the young. However, it is suggested that the reduced specific tension and enhanced fatiguability of the elderly may in part be due respectively to the inadequacies of our estimates of the effective cross-sectional area CSA) of contractile tissue in the lower leg and the influence of blood flow which may be compromised during a 2 min test.",1986,,Acta Med Scand Suppl,711,,219-26,,10.1111/j.0954-6820.1986.tb08954.x,3465206,#2684,Davies 1986,Exclusion reason: PCSA not directly measured; ,,PCSA taken from literature,,,,,,,,
Effects of ageing and gender on contractile properties in human skeletal muscle and single fibres.,Yu F; Hedström M; Cristea A; Dalén N; Larsson L,"AIM: The objective of this study is to improve our understanding of the mechanisms underlying the ageing- and gender-related muscle weakness. METHODS: Ageing- and gender-related differences in regulation of muscle contraction have been studied in knee-extensor muscles at the whole muscle and single muscle fibre levels in young and old sedentary men and women. In vivo knee-extensor muscle function was measured at slow (30 degrees s(-1)) and faster (180 degrees s(-1)) speeds of movement. Maximum velocity of unloaded shortening (V(0)) and maximum force normalized to cross-sectional area (CSA) [specific tension (ST)] were measured in single 'skinned' skeletal muscle fibre segments. RESULTS: Significant ageing- and gender-related differences were observed in muscle torque. A 33-55% ageing-related decline (P < 0.001) in maximum torque was observed irrespective of gender. At the single muscle fibre level, the ageing-related decline in knee-extensor muscle function was accompanied by a 20-28% decline in ST in muscle fibres expressing the type I MyHC isoform in both men and women, and a 29% decline in type IIa muscle fibre CSA, but the decreased fast-twitch fibre size was restricted to the men. Furthermore, in both men and women, V(0) decreased in muscle cells expressing the type I and IIa MyHC isoforms. CONCLUSION: The present results provide evidence of specific ageing- and gender-related differences in regulation of muscle contraction at the cellular level. It is suggested that these cellular changes have a significant impact on muscle function and the ageing-related motor handicap.",2007,Jul,Acta Physiol (Oxf),190,3,229-41,,10.1111/j.1748-1716.2007.01699.x,17581136,#2685,Yu 2007,Exclusion reason: specific tension from single fibers; ,Fiber,ST of muscle fibers,,,,,,,,
Are muscle fibres of body builders intrinsically weaker? A comparison with single fibres of aged-matched controls.,Monti E; Toniolo L; Marcucci L; Bondì M; Martellato I; Šimunič B; Toninello P; Franchi MV; Narici MV; Reggiani C,"AIM: Skeletal muscles of Body Builders (BB) represent an interesting model to study muscle mass gains in response to high volume resistance training. It is debated whether muscle contractile performance improves in proportion to mass. Here, we aim to assess whether muscle hypertrophy does not occur at the expense of performance. METHODS: Six BB and Six untrained controls (CTRL) were recruited. Cross-sectional area (CSA) and maximum voluntary contraction (MVC) of quadriceps femoris muscle (QF) and CSA and architecture of vastus lateralis (VL) were determined. Moreover, a biopsy was taken from VL mid-portion and single fibres were analysed. RESULTS: QF CSA and MVC were 32% (n.s., P = .052) and 58% (P = .009) higher in BB than in CTRL, respectively. VL CSA was 37% higher in BB (P = .030). Fast 2A fibres CSA was 24% (P = .048) greater in BB than in CTRL, when determined in immunostained sections of biopsy samples. Single permeabilized fast fibres CSA was 37% (n.s., P = .052) higher in BB than in CTRL, and their force was slightly higher in BB (n.s.), while specific tension (P(0) ) was 19% (P = .024) lower. The lower P(0) was not explained either by lower myosin content or by impaired calcium diffusion. Conversely, the swelling caused by skinning-induced permeabilization was different and, when used to correct P(0) , differences between populations disappeared. CONCLUSIONS: The results show that high degree of muscle hypertrophy is not detrimental for force generation capacity, as increases in fibre size and force are strictly proportional once the differential swelling response is accounted for.",2021,Feb,Acta Physiol (Oxf),231,2,e13557,,10.1111/apha.13557,32921001,#2699,Monti 2021,Exclusion reason: specific tension from single fibers; ,Fiber,ST of muscle fibers,,,,,,,,
Effects of removal of weight-bearing function on contractility and myosin isoform composition in single human skeletal muscle cells.,Larsson L; Li X; Berg HE; Frontera WR,"The purpose of this study was to investigate the effects of a 6-week period without weight bearing, achieved by bed rest, on the contractile behaviour, myosin isoform expression and myofibrillar protein content of single human muscle fibres. Percutaneous biopsied specimens of the quadriceps muscle were taken from three healthy male volunteers before and at the end of the experimental period. Maximum force normalised to cross-sectional area (specific tension), maximum velocity of unloaded shortening (V0), and myosin heavy chain (MyHC) and light chain (MyLC) isoform composition were measured in single membrane-permeabilised muscle cells obtained from these specimens. At the end of the experimental period, specific tension was reduced (P < 0.001) by 40% and there was a parallel decline in myofibrillar protein content per muscle cell volume. V0 did not change significantly in response to bed rest when data from all muscle cells were pooled. In two of the subjects, however, V0 decreased (P < 0.01-0.001) in muscle cells expressing the beta/slow (type I) MyHC isoform, but there was no change in fibres expressing type IIA or a combination of type IIA and IIB MyHCs. The slowing in type I MyHC fibres was associated with a change in the isoform composition of the regulatory MyLC.",1996,Jun,Pflugers Arch,432,2,320-8,,10.1007/s004240050139,8662283,#2702,Larsson 1996,Exclusion reason: specific tension from single fibers; ,Fiber,ST of muscle fibers,,,,,,,,
"Contractile studies of single human skeletal muscle fibers: a comparison of different muscles, permeabilization procedures, and storage techniques.",Frontera WR; Larsson L,"The study of single muscle fibers has improved our understanding of muscle physiology and pathology. To compare three techniques for fiber preparation and storage, biopsies were obtained from the tibialis anterior and vastus lateralis muscles of a hemiparetic patient and a control subject. Single fibers were prepared with: (1) chemical skinning (CS) and storage at -20 degrees C; (2) chemical skinning followed by sucrose (SU) incubation and storage at -80 degrees C; or (3) freeze-drying (FD) and -80 degrees C storage. Cross-sectional area (CSA), resting, maximal (P0), and specific tension (P0/CSA), and maximum shortening velocity (V0) were determined in 189 cells. CSA was similar in all groups. Resting tension was higher and P0 and P0/CSA lower after FD. In general, V0 was the same in all groups. Our data suggest that CS and SU preserve the properties of single muscle fibers better than FD. SU may allow longer storage of fibers.",1997,Aug,Muscle Nerve,20,8,948-52,,10.1002/(sici)1097-4598(199708)20:8<948::aid-mus3>3.0.co;2-6,9236784,#2712,Frontera 1997,Exclusion reason: specific tension from single fibers; ,Fiber,ST of muscle fibers,,,,,,,,
Evidence that maximum muscle stress is not a constant: differences in specific tension in elbow flexors and extensors.,Buchanan TS,"The specific tension of muscle (or maximum muscle stress) is the maximum force developed per unit cross-sectional area and is a frequently used parameter by investigators estimating muscle force. Generally, it is assumed to be a constant value for all muscles and, when multiplied by a muscle's cross-sectional area, is used to provide a measure of a muscle's maximum force production. In this study, the specific tension for elbow flexors and for extensors were compared to evaluate the validity of this assumption. Maximum muscle stress was determined using maximum joint moments measured as a function of joint angle and using anatomical parameters reported in the literature. It was observed that the specific tension for elbow flexors was considerably larger than for extensors when measured a variety of ways. The exact reasons for the differences are unknown, but variations in specific tension of individual fibers may play a role. It was concluded that the use of a constant value for specific tension in muscle models is questionable in studies that demand accurate results.",1995,Oct,Med Eng Phys,17,7,529-36,,10.1016/1350-4533(95)00005-8,7489126,#2718,Buchanan 1995,Exclusion reason: PCSA not directly measured; ,,PCSA taken from literature,,,,,,,,
