CovidenceID,aveAge (years),aveHeight (cm),aveWeight (kg)," Number of subjects, N", Muscle,Type,Gender,combined,CSA, Miscellaneous, Voluntary (V) or Stimulated (S) Force measurement,aveVol (cm3),aveFL (cm),avePCSA (cm2),aveTorque (Nm),aveForce (N),aveST (N/cm2), Muscle Volume measurement method, Fiber /fascicle length measurement method , PCSA /ACSA calculation method, Torque measurement method, Force measurement/calculation method, Specific tension calculation method,Muscle volume,Fiber/Fascicle length method,Fiber/Fascicle length,ASCA,PSCA,Torque,Torque correction,Moment Arm measured,Moment Arm correction,Force,Specific Tension,Pennation angle,pending column,pending column.1,pending column.2,Overall note,Total Score,Title_x,Covidence #,Study ID,Title_y,Country,Study design,Notes,Authors,Year,Journal,PMID,Muscle,name,fast/slow,Joint type,antigrav/grav,Joint action,secondary joint action,anatomical location
4162,23,176,70.6,16,QF,YNG,Male,M 16 young men,PCSA,,,,9.06,231,262,5555,29,MRI,"Ultrasound

 Imaging software (Image J; v1.39b; National Institutes of 
Health, Bethesda, MA) was used to determine muscle fascicle length 
from the superficial to the deep aponeurosis.","Vol/lf

Physiological cross-sectional area was calculated for each quadri-
ceps muscle as: [muscle volume/fascicle length], and the sum taken 
as quadriceps PCSA","MVC measured,. highest activation trial used.

A custom-built isometric dynamometer was used to assess knee 
extension MVC torque of the dominant leg with participants sitting  with the knee and hip angles at 90°. Torque was  estimated as force multiplied by lever length.  participants performed a maximal isometric contraction, 
sustained for 3 s with visual feedback, and strong verbal encouragement and this was repeated a further two times. The highest recorded torque was taken as MVC","patella tendon force calculated from measured moment arm 

pecific force was estimated as: 
[(external torque/moment arm)/(PCSA * pennation angle)] or simpli-
fied to: [Patella tendon force/(PCSA * pennation angle)] ",Ft/(PCSA*cos(alpha)),CSA accumulation times slice interval,Ultrasound,Fiber length at MVC,,Muscle vol*cos θ/Fiber length,Highest value from torque meter (multiple MVC trials),Activation,Measured from MRI,MVC correction and Joint angle correction,Tendon Force ,Force/rPCSA,Literature value,,,,,4,"#4162 McPhee 2018-The contributions of fiber atrophy, fiber loss, in situ specific force, and voluntary activation to weakness in sarcopenia",4162,McPhee 2018,"The contributions of fiber atrophy, fiber loss, in situ specific force, and voluntary activation to weakness in sarcopenia",UK,Cross sectional study,fascicle lengths for VL VI VM RF measured,"McPhee, Jamie S; Cameron, James; Maden-Wilkinson, Thomas; Piasecki, Mathew; Yap, Moi Hoon; Jones, David A; Degens, Hans",2018,J Gerontol A Biol Sci Med Sci,29529132,QF,Quadriceps Femoris,60/40,mixed,antigravity,knee extensor,hip flexor,Thigh
4162,22,167,61.2,15,QF,YNG,Female,F 15 young women,PCSA,,,,8.66,175,182,4921,32,,,,,,,CSA accumulation times slice interval,Ultrasound,Fiber length at MVC,,Muscle vol*cos θ/Fiber length,Highest value from torque meter (multiple MVC trials),Activation,Measured from MRI,MVC correction and Joint angle correction,Tendon Force ,Force/rPCSA,Literature value,,,,,4,"#4162 McPhee 2018-The contributions of fiber atrophy, fiber loss, in situ specific force, and voluntary activation to weakness in sarcopenia",4162,McPhee 2018,"The contributions of fiber atrophy, fiber loss, in situ specific force, and voluntary activation to weakness in sarcopenia",UK,Cross sectional study,fascicle lengths for VL VI VM RF measured,"McPhee, Jamie S; Cameron, James; Maden-Wilkinson, Thomas; Piasecki, Mathew; Yap, Moi Hoon; Jones, David A; Degens, Hans",2018,J Gerontol A Biol Sci Med Sci,29529132,QF,Quadriceps Femoris,60/40,mixed,antigravity,knee extensor,hip flexor,Thigh
4162,72,174,78.9,20,QF,OLD,Male,M 20 old men,PCSA,,,,9.5,174,164,3472,24,,,,,,,CSA accumulation times slice interval,Ultrasound,Fiber length at MVC,,Muscle vol*cos θ/Fiber length,Highest value from torque meter (multiple MVC trials),Activation,Measured from MRI,MVC correction and Joint angle correction,Tendon Force ,Force/rPCSA,Literature value,,,,,4,"#4162 McPhee 2018-The contributions of fiber atrophy, fiber loss, in situ specific force, and voluntary activation to weakness in sarcopenia",4162,McPhee 2018,"The contributions of fiber atrophy, fiber loss, in situ specific force, and voluntary activation to weakness in sarcopenia",UK,Cross sectional study,fascicle lengths for VL VI VM RF measured,"McPhee, Jamie S; Cameron, James; Maden-Wilkinson, Thomas; Piasecki, Mathew; Yap, Moi Hoon; Jones, David A; Degens, Hans",2018,J Gerontol A Biol Sci Med Sci,29529132,QF,Quadriceps Femoris,60/40,mixed,antigravity,knee extensor,hip flexor,Thigh
4162,71,160,67.3,20,QF,OLD,Female,F 20 old women,PCSA,,,,8.84,130,116,2928,27,,,,,,,CSA accumulation times slice interval,Ultrasound,Fiber length at MVC,,Muscle vol*cos θ/Fiber length,Highest value from torque meter (multiple MVC trials),Activation,Measured from MRI,MVC correction and Joint angle correction,Tendon Force ,Force/rPCSA,Literature value,,,,,4,"#4162 McPhee 2018-The contributions of fiber atrophy, fiber loss, in situ specific force, and voluntary activation to weakness in sarcopenia",4162,McPhee 2018,"The contributions of fiber atrophy, fiber loss, in situ specific force, and voluntary activation to weakness in sarcopenia",UK,Cross sectional study,fascicle lengths for VL VI VM RF measured,"McPhee, Jamie S; Cameron, James; Maden-Wilkinson, Thomas; Piasecki, Mathew; Yap, Moi Hoon; Jones, David A; Degens, Hans",2018,J Gerontol A Biol Sci Med Sci,29529132,QF,Quadriceps Femoris,60/40,mixed,antigravity,knee extensor,hip flexor,Thigh
4135,72.7,169.3,78.4,11,PF,OLD UT EXP,Male,"M 11, experiment, pre training",PCSA,,V,,,,110.5,2472.8,,"sum of ACSA from MRI

Serial axial plane MRI scans were acquired along the length of the GL using a Wxed 0.2 T MRI scanner.ACSA of each slice was summed and multiplied by the
slice thickness inclusive of gap.","GL fascicle force =the GL component of tendon force divided by the cos (alpha)

Fibre fascicle length (Lf) and pennation angle were measured using B-Mode, real time ultrasonography",Vm/lf,"MVC corrected for activation using doublet and antagonist torque.

measured PF torque


Isometric plantarXexion (PF) maximal voluntary contraction (MVC) torque was recorded with the subjects in a prone position and the left foot secured to the foot adapter of an isokinetic dynamometer .Two isometric maximal voluntary plantarXexion contractions (MVC)
were performed at an ankle joint angle of ¡20° (the foot in dorsiXexion), 2 min separated each MVC attempt. The foot was placed at ¡20° as this has previously been
shown to be the optimum fascicle length within the physiological range of the gastrocnemius muscle","In vivo MRI was performed to determine moment arm
length of the achilles tendon at rest.  F=tq/MA",F/PSCA,,,,,,,,,,,,,,,,,0,#4135 Morse 2007-Gastrocnemius specific force is increased in elderly males following a 12-month physical training programme,4135,Morse 2007,Gastrocnemius specific force is increased in elderly males following a 12-month physical training programme,UK,Randomised controlled trial,,"Morse, Christopher I; Thom, Jeanette M; Mian, Omar S; Birch, Karen M; Narici, Marco V",2007,Eur J Appl Physiol,16858613,PF,Plantar Flexors,Slow,mixed,antigravity,ankle plantar flexor,knee flexor,Lower leg
4135,72.7,169.3,78.4,11,GL,OLD UT EXP,Male,"M 11, experiment, pre training",PCSA,,V,132.9,4.9,27.2,,262.9,8.9,,,,,"ratio of GL pcsa to total pcsa to get moment contribution.
GL force=GL moment/MA

Once the GL component of the achilles tendon force was calculated, this was divided by cos  to determine the fascicle force (Ff).",Specific force of the GL muscle was calculated by dividing GL Ff by GL PCSA.,CSA accumulation times slice interval,Ultrasound,Fascicle length at MVC,,Muscle vol*cos θ/Fiber length,Highest value from torque meter (MVC + e-stim trials),Activation & Coactivation,Measured from MRI,,Tendon Force using relative PCSA,Force/rPCSA,Measured,,,,"method of estimating
the relative contribution of each constituent muscle to
the total tendon force component from relative PCSA of
each constituent of a muscle group. We have previously determined
that the GL constitutes 11% of the triceps surae PCSA
(Morse et al. 2005a), and the triceps surae group was estimated
to represent 91% of the total PF PCSA in the elderly
(Wickiewicz et al. 1983); hence this seems to justify the assumption that the triceps surae PCSA represents
the main PCSA of the plantarXexors",2,#4135 Morse 2007-Gastrocnemius specific force is increased in elderly males following a 12-month physical training programme,4135,Morse 2007,Gastrocnemius specific force is increased in elderly males following a 12-month physical training programme,UK,Randomised controlled trial,,"Morse, Christopher I; Thom, Jeanette M; Mian, Omar S; Birch, Karen M; Narici, Marco V",2007,Eur J Appl Physiol,16858613,GL,Gastrocnemius Lateralis,50/50,biarticular,antigravity,ankle plantar flexor,knee flexor,Lower leg
4135,72.7,169.3,78.4,11,PF,OLD T EXP,Male,"M 11, experiment, post training",PCSA,,V,,,,142.8,3202,,,,,,,,,,,,,,,,,,,,,,,,0,#4135 Morse 2007-Gastrocnemius specific force is increased in elderly males following a 12-month physical training programme,4135,Morse 2007,Gastrocnemius specific force is increased in elderly males following a 12-month physical training programme,UK,Randomised controlled trial,,"Morse, Christopher I; Thom, Jeanette M; Mian, Omar S; Birch, Karen M; Narici, Marco V",2007,Eur J Appl Physiol,16858613,PF,Plantar Flexors,Slow,mixed,antigravity,ankle plantar flexor,knee flexor,Lower leg
4135,72.7,169.3,78.4,11,GL,OLD T EXP,Male,"M 11, experiment, post training",PCSA,,V,161.8,5.2,31.8,,343.5,11.2,,,,,,,CSA accumulation times slice interval,Ultrasound,Fascicle length at MVC,,Muscle vol*cos θ/Fiber length,Highest value from torque meter (MVC + e-stim trials),Activation & Coactivation,Measured from MRI,,Tendon Force using relative PCSA,Force/rPCSA,Measured,,,,,2,#4135 Morse 2007-Gastrocnemius specific force is increased in elderly males following a 12-month physical training programme,4135,Morse 2007,Gastrocnemius specific force is increased in elderly males following a 12-month physical training programme,UK,Randomised controlled trial,,"Morse, Christopher I; Thom, Jeanette M; Mian, Omar S; Birch, Karen M; Narici, Marco V",2007,Eur J Appl Physiol,16858613,GL,Gastrocnemius Lateralis,50/50,biarticular,antigravity,ankle plantar flexor,knee flexor,Lower leg
4135,73.9,170.4,72.8,8,PF,OLD UT Control,Male,"M 8, control, pre training",PCSA,,V,,,,107.8,2378.5,,,,,,,,,,,,,,,,,,,,,,,,0,#4135 Morse 2007-Gastrocnemius specific force is increased in elderly males following a 12-month physical training programme,4135,Morse 2007,Gastrocnemius specific force is increased in elderly males following a 12-month physical training programme,UK,Randomised controlled trial,,"Morse, Christopher I; Thom, Jeanette M; Mian, Omar S; Birch, Karen M; Narici, Marco V",2007,Eur J Appl Physiol,16858613,PF,Plantar Flexors,Slow,mixed,antigravity,ankle plantar flexor,knee flexor,Lower leg
4135,73.9,170.4,72.8,8,GL,OLD UT Control,Male,"M 8, control , pre training",PCSA,,V,129.8,5.2,27.1,,254.6,9.8,,,,,,,CSA accumulation times slice interval,Ultrasound,Fascicle length at MVC,,Muscle vol*cos θ/Fiber length,Highest value from torque meter (MVC + e-stim trials),Activation & Coactivation,Measured from MRI,,Tendon Force using relative PCSA,Force/rPCSA,Measured,,,,,2,#4135 Morse 2007-Gastrocnemius specific force is increased in elderly males following a 12-month physical training programme,4135,Morse 2007,Gastrocnemius specific force is increased in elderly males following a 12-month physical training programme,UK,Randomised controlled trial,,"Morse, Christopher I; Thom, Jeanette M; Mian, Omar S; Birch, Karen M; Narici, Marco V",2007,Eur J Appl Physiol,16858613,GL,Gastrocnemius Lateralis,50/50,biarticular,antigravity,ankle plantar flexor,knee flexor,Lower leg
