CovidenceID,Method, Muscle Volume measurement, Fiber /fascicle length measurement , PCSA /ACSA calculation method, Torque measurement method, Force measurement/calculation method, miscellaneous
4196,1," a three-dimensional photogrammetry approach to
estimate muscle volume for PCSA calculation in which the
entire specimen was first scanned and then the skin flap
was removed electronically using editing software "," The FWHM is the width
of the active force vs. muscle length curve at half the
maximum force
distal muscle fibres to the distal end of the tendo"," PCSA was
calculated using standard equations (Lieber & Friden,
2000), where muscle volume was obtained optically for
each muscle as described above and fibre length was estimated for each muscle based on the FWHM of their
muscle length–tension curve determined intraoperatively.",,"BFT directly on tendon. Force recorded by the BFT was then scaled up based on the twitch force change recorded for each subject at each JC at 50% and 100% CMAP stimulation intensit. Calculating this scaling factor across JCs within each
subject thus incorporated any muscle length-dependent activation variability. An additional 6% force increment
was measured when the muscle was stimulated at the
maximum frequency of 50 Hz (P50) compared to the sub-
maximal value of 20 Hz (P20). Force scale with P50 P20 and Tw 100 Tw 50.","
Specific tension, Si, was calculated for each muscle from
Po and muscle PCS"
4196,2,,,,,,
4196,3,,,,,,
4106,1,"This was done from a series of eighty contiguous MRI axial images, 5 mm thick, obtained at rest with a whole body 1.5 T scanner. The total
volume was then calculated by adding up the individual ACSA of each image and multiplying the sum by the slice thickness (5 mm)
","Muscle length was measured as the distance between the most proximal and most distal images in which the GM was identifiable.


architectural features of the GM were assessed from images obtained with a real time computerized sonograph

Measurements of Lf, alpha and t were performed on-line using a dedicated piece of software. These measurements were performed both at rest and during isometric plantar flexions of increasing intensity up to MVC","For each of the eighty axial images the anatomical cross-sectional area (ACSA) of the gastrocnemius medialis (GM) was calculated.
PCSA = ( V/Lf) cos(theta)",,"subjects sat on a couch with the back supported and the lower limbs fully extended. All measurements were carried out on the right leg, dominant in all the subjects, with the foot positioned at 90 deg relative to a footplate. A previous MRI sagittal examination of the ankle showed that with the foot set in this position the corresponding ankle joint angle was 112 deg. The force exerted by the plantar flexors was measured by connecting the footplate to a force transduce

Each subject was asked to perform eight to ten isometric plantarflexions, 4 s in duration at 30 s intervals, from rest to 100 % of the MVC",
4106,2,,,,,,
4106,3,,,,,,
4070,1,"MRI scan, ASCA acculation * distance

The VL muscle volume (V) was calculated by using the ACSAs measured with ultrasonography, in accordance with previously applied methods (10). In each section, the distance (d) between two muscle ACSAs (a and b) was 30 mm, except for the most distal section, which varied between 5 and 30 mm. All sections were treated as truncated cone

Volume of the entire VL muscle was calculated by summing up all of the inter-ACSA volumes","The VL muscle architecture was examined in vivo at the time of superimposed stimuli application using real-time B-mode ultrasonograph at MVC


The VL muscle fascicles generally extended off the ultrasound scan window, and it was, therefore, necessary to estimate part of the fascicle length. With the use of digitizing software (NIH image version 1.61, National Institutes of Health, Bethesda, MD), the visible portion of the fascicle was measured, and the remaining part was estimated, assuming linear contin-
uation of the fascicle and aponeurosis in the proximal direction.","B-mode ultrasonography measured ASCA.
PCSA= volume/length


ACSA=B-mode ultrasonography using a7.5-MHz linear-array probe was used to obtain axial-plane images of the VL muscle

During all measurements, the subjects were instructed to relax their leg muscles. The proximal and distal insertions and the midsagittal plane of the VL muscle were identified and marked on the skin. Axial sections were then clearly marked along the muscle at intervals of 30 mm from the proximal insertion

The VL muscle PCSA was calculated by dividing muscle volume by fascicle length (1, 21, 30). This calculation assumes a muscle model that is cylindrical in shape, with fibers of constant length. The assumption of a relatively constant fiber length throughout the muscle is supported by previous in vivo and in vitro findings in several human muscles (13, 29, 31, 34)","The sum of the maximal knee extension joint torque (maximal voluntary torque + superimposed stimulation torque) and the estimated antagonistic cocontraction torque from the knee flexors
(TQcoac) was divided by the MRI-based estimate of the patella tendon
moment arm length (MAPT) .The relative contribution of the VL muscle to the patella tendon force calculated from Eq. 1 was estimated from the relative PCSA of
the VL muscle with respect to the entire quadriceps muscle group, from the data of Narici et al. The VL muscle fascicle force was estimated by dividing VL
muscle force by the cosine of the angle of pennation of fascicles, measured during maximal isometric contraction



Maximal isometric knee extension and flexion torque were assessed using an isokinetic dynamometer at nine knee joint angles, ranging from 90 to 10°, in 10° increments (full extension 0°), with the hip angle at 85° (supine position 0°)
When the voluntary torque peaked, a superimposed supramaximal double twitch with 50- s pulse width and 50-ms inter stimulus gap was applied. The doublet was generated by an electrical stimulator
The point at which a further increase in current by 50 mA failed to increase the twitch torque was defined as the supramaximal stimulation intensity. The voluntary activation capacity of the quadriceps muscle group was calculated as maximum voluntary torque/(maximum voluntary torque + superimposed stimulation torque),

EMG activity was assessed from the  vastus lateralis (VL) muscle and the long head of the biceps femoris (BF) muscle.
The root mean square (RMS) EMG activity of the BF and VL muscles was measured over a 50-ms time period corresponding to maximal isometric knee extension torque

To estimate the level of antagonistic co contraction from the knee flexors, the BF muscle RMS EMG activity was measured during maximal isometric knee flexion

The antagonistic torque of the knee flexors during a maximal isometric knee extension was calculated, assuming a linear EMG-torque relation, from the EMG-torque relation of the BF muscle when acting as an agonist

","Patella tendon mo-
ment arm lengths were assessed using a 0.2-T MRI scanner (E-Scan,
Esaote Biomedica, Genoa, Italy) to allow calculation of tendon forces




Patella tendon moment arm lengths were assessed using a 0.2-T MRI scanner

it was only possible to image the knee joint in full extension. The previously reported ratio (2) of the patella tendon moment arm length between full extension and the specific knee joint angle studied was used to estimate the tendon moment arm length for each subject.


 patella tendon force=The sum of the maximal knee extension joint torque (maximalvoluntary torque + superimposed stimulation torque) and the esti-mated antagonistic cocontraction torque from the knee flexors (TQcoac) was divided by the MRI-based estimate of the patella tendon moment arm length (MAPT)
Fpt=(T_KE +T_coac)/MA

The relative contribution of the VL muscle to the patella tendon force calculated was estimated from the relative PCSA of the VL muscle with respect to the entire quadriceps muscle group,from the data of Narici et al. (36).

The VL muscle fascicle force was estimated by dividing VL
muscle force by the cosine of the angle of pennation of fascicles,
measured during maximal isometric contraction

F_fasc=F_VL/cos(alpha)


Specific force of the VL muscle was calculated at the knee joint angle where maximal fascicle force peaked (calculated from the maximal voluntary torque + superimposed stimulation torque). This corresponded to the knee joint angle of 70°before and after training. Specific force was calculated by dividing fascicle force by PCSA

",
4070,2,,,,,,
4070,3,,,,,,
4040,1," Serial axial plane MRI scans were acquired along the length of the lateral head of the gastrocnemius muscle (GL) using
a fixed 0.2-T MRI scanner . The first scan was centered at the lower edge of the patella and was sufficient to include the origin of the GL; subsequent scans were carried out in contiguous 7-cm sections distally until the myotendi-
nous junction of the GL had been included (Fig. 1). Axial plane scans were obtained using a T1-weighted three-dimensional isotropic profile . Participants were supine for 15 min before the scan to allow fluid shifts to occur. ACSA  was then multiplied by the slice thickness (inclusive of gap) to give an estimate of muscle volume
. ","Fiber fascicle length (Lf) and pennation angle  were measured using B-Mode, real-time ultrasonography at the time point of MVC. Fascicle length Lf was defined as the length of the fascicle between the deep and superficial aponeurose
","The ACSA of the GL muscle was measured from each scan using digitizing software and imaging software (NIH image version 1.61/ppc, National Institutes of Health, Bethesda). 
PCSA (cm2) was
calculated as the ratio of GL Vol (cm3) to Lf (cm). "," Isometric plantarflexor MVC torque was recorded with the participants laying prone and the left foot secured to the foot adapter of an isokinetic dynamomete. Straps were used about the hips to prevent forward displacement of the body during maximal plantarflexions. Participants were positioned with the knee at full extension and the lateral malleolus aligned with the axis of rotation identified on the dynamometer.  Two isometric maximal voluntary plantarflexions (MVC) were performed at an ankle joint angle of *20° (the foot in dorsiflexion); 2 min separated each
MVC attempt. The foot was placed at 20° as this has been shown previously to correspond to the optimum fascicle length within the
physiological range of the gastrocnemius muscle (26). To ensure MVC was achieved, visual feedback was provided using an online graphical display, and consistent verbal encouragement was provided by the investigator. Maximal isometric dorsiflexions were performed after the plantarflexion MVC to obtain maximal dorsiflexor electromyographic (EMG) data for calculation of antagonist coactivation in
the tibialis anterior
","Tendon force was calculated by dividing the
net plantarflexion torque (N m) by the Achilles tendon moment arm
length (m). To estimate the contribution of the GL to Achilles tendon force, the relative PCSA of the GL within the triceps. surae was calculated. Previously, relative PCSA of the quadriceps
muscle group has been used to determine the relative contribution of
each constituent muscle to the production patella tendon force.


Moment arm length. MRI was used to determine moment arm length of the Achilles tendon at rest. Two sagittal plane scans were taken of the left ankle with the foot secured at  20° dorsiflexion and20° plantarflexion. From these images an average moment arm length between the two angles of measurement was calculated according to the tendon excursion method described previously. 
The moment arm length (MA) was estimated as MA (m) tibial angle (rad)/calcaneal displacement (m).


Tendon force was calculated by dividing the net plantarflexion torque (N m) by the Achilles tendon moment arm length (m).

GL fascicle force. To estimate the contribution of the GL to Achilles tendon force, the relative PCSA of the GL within the triceps surae was calculate

We have determined previously that the GL constitutes 11% of the triceps surae PCSA(33), and the triceps surae group was estimated to occupy 91% of the plantarflexor PCSA

Once the GL component of the tendon force was calculated, this was divided by the cosine of the pennation angle measured during contraction to determine the fascicle force, Ff

Specific force was calculated by dividing GL fascicle force by the PCSA

",
4040,2,,,,,,
4040,3,,,,,,
