CovidenceID,Entry," Number of subjects, N", Gender, Muscle, Muscle Volume (cm3), Fascicle length (cm), PSCA or CSA  (cm2), Voluntary (V) or Stimulated (S) Force measurement, Muscle torque (Nm), Muscle Force (N), Specific tension (N/cm2), Muscle Volume measurement method, Fiber /fascicle length measurement method , PCSA /ACSA calculation method, Torque measurement method, Force measurement/calculation method, Specific tension calculation method, Miscellaneous,aveVol (cm3),aveFL (cm),avePCSA (cm2),aveTorque (Nm),aveForce (N),aveST (N/cm2)
4196,1,12,mixed,GRACILIS,, 12.9 SD 3.3, 13.1 SD 7.1,S,,,17.1 SD 8.4,"we used a three-dimensional photogrammetry approach to estimate muscle volume for PCSA calculation in which the entire specimen was first scanned and then the skin flap was removed electronically using editing software (Persad
et al., 2021, 2022). Average volume errors using this software using cadaveric tissue and a water displacement
standard was 7% (n = 6 gracilis muscles).","Because we could not measure optimal fibre length directly in our subjects during isometric testing, we used a functional surrogate for optimal fibre length, the
full-width at half maximum (FWHM) calculated from
their force vs. length relationship. The FWHM is the width of the active force vs. muscle length curve at half the
maximum force (Fig. 3B). A linear relationship between FWHM and optimal fibre length has been established
across several mammalian species and muscles (Winters
et al., 2011) (Fig. 3C). To calculate FWHM, we fit each patient’s calculated fully active force vs. muscle length data to a quadratic curve and then calculated width at half the calculated maximum force from the equation. Optimal fibre length was then calculated from the previously established linear relationship between FWHM and optimal fibre length","we used a three-dimensional photogrammetry approach to
estimate muscle volume for PCSA calculation in which the entire specimen was first scanned and then the skin flap was removed electronically using editing software (Persad
et al., 2021, 2022). ",,"BFT directly on tendon. Force recorded by the BFT was then scaled up based on the twitch force change recorded for each subject at each JC at 50% and 100% CMAP stimulation intensit. Calculating this scaling factor across JCs within each subject thus incorporated any muscle length-dependent activation variability. An additional 6% force increment was measured when the muscle was stimulated at the
maximum frequency of 50 Hz (P50) compared to the submaximal value of 20 Hz (P20). Force scale with P50 P20 and Tw 100 Tw 50.",F/PCSA,,,12.9,13.1,,,17.1
4196,2,,,,,,,,,,,,,,,,,,,,,,,
4196,3,,,,,,,,,,,,,,,,,,,,,,,
4196,4,,,,,,,,,,,,,,,,,,,,,,,
4196,5,,,,,,,,,,,,,,,,,,,,,,,
4196,6,,,,,,,,,,,,,,,,,,,,,,,
4196,7,,,,,,,,,,,,,,,,,,,,,,,
4196,8,,,,,,,,,,,,,,,,,,,,,,,
4196,9,,,,,,,,,,,,,,,,,,,,,,,
4196,10,,,,,,,,,,,,,,,,,,,,,,,
4196,11,,,,,,,,,,,,,,,,,,,,,,,
4106,1,6,m,GM,245.9 SD 36.7,"3.29 SD 0.23

","62.5 SD 10.8
",V,,448,13.3,"This was done from a series of eighty contiguous MRI axial images, 5 mm thick, obtained at rest with a whole body 1.5 T scanner. The total
volume was then calculated by adding up the individual ACSA of each image and multiplying the sum by the slice thickness (5 mm)
",Muscle length was measured as the distance between the most proximal and most distal images in which the GM was identifiable.,"For each of the eighty axial images the anatomical cross-sectional area (ACSA) of the gastrocnemius medialis (GM) was calculated.
PCSA = ( V/Lf) cos(theta)

PCSA at rest=46.5","The subjects sat on a couch with the back supported and the lower limbs fully extended. All measurements were carried out on the right leg, dominant in all the subjects, with the foot positioned at
90 deg relative to a footplate The force exerted by the plantar flexors was measured by connecting the footplate to a force transducer. ","From the data of Fukunaga et al. (1992), it may be calculated that the GM PCSA is about 18 % of the total PCSA of themain plantar flexors (gastrocnemius medialis and lateralis,soleus, tibialis posterior and peroneus longus). Therefore, atMVC, the force developed by the GM should be 18 % of the total force developed by the plantar flexors (2489 N), i.e.448 N


 This was given by the ratio between the
moment arm of the Achilles' tendon, 4*7 + 0 1 cm, measured on a MRI image at a footplate angle of 90 deg
(with respect to the tibia) and the moment arm of the external force, 15-2 + 1 0 cm. Both moment arms were measured as the distance from the centre of rotation of the ankle as reference point.","GM force/GM PCSA at rest, corrected for footplate angle.","fiber length at rest: 5.08 ± 0.36

PCSA at rest: 46.5 ± 5.7

ST at rest: 9.6",245.9,3.29,62.5,,448.0,13.3
4106,2,6,m,PF,,,,,755.3 SD 23.8,2489 SD 200,,,,,"the MVC was divided by 0.308 + 0.02, the mechanical advantage of this lever system. This was given by the ratio between the moment arm of the Achilles' tendon, 4.7 + 0.1 cm, measured on a MRI image at a footplate angle of 90 deg (with respect to the tibia) and the moment arm of the external force, 15.2 + 1.0 cm. Both moment arms were measured as the distance from the centre of rotation of the ankle as reference point",,,,,,,755.3,2489.0,
4106,3,,,,,,,,,,,,,,,,,,,,,,,
4106,4,,,,,,,,,,,,,,,,,,,,,,,
4106,5,,,,,,,,,,,,,,,,,,,,,,,
4106,6,,,,,,,,,,,,,,,,,,,,,,,
4106,7,,,,,,,,,,,,,,,,,,,,,,,
4106,8,,,,,,,,,,,,,,,,,,,,,,,
4106,9,,,,,,,,,,,,,,,,,,,,,,,
4106,10,,,,,,,,,,,,,,,,,,,,,,,
4106,11,,,,,,,,,,,,,,,,,,,,,,,
4070,1,"9, experimental, pre training",Mixed,VL,254.3 SD 76,8.4 SD 0.8,30.4 SD 8.9,Mixed,,847.9 SD 365.3,27 SD 6.3,"MRI scan, ASCA acculation * distance

Volume of the entire VL muscle was calculated by summing up all of the inter-ACSA volumes, All sections were treated as truncated cone","measured in subset (n=6) during MVC

The VL muscle fascicles generally extended off the ultrasound scan window, and it was, therefore, necessary to estimate part of the fascicle length. With the use of digitizing software (NIH image version 1.61, National Institutes of Health, Bethesda, MD), the visible portion of the fascicle was measured, and the remaining part was estimated, assuming linear contin-
uation of the fascicle and aponeurosis in the proximal direction.","Volume_VL/lf

B-mode ultrasonography measured ASCA.
PCSA= volume/length","max torque=T_KE + T_coactivation


The sum of the maximal knee extension joint torque (maximal voluntary torque + superimposed stimulation torque) and the estimated antagonistic cocontraction torque from the knee flexors
(TQcoac) was divided by the MRI-based estimate of the patella tendon
moment arm length (MAPT) .The relative contribution of the VL muscle to the patella tendon force calculated from Eq. 1 was estimated from the relative PCSA of
the VL muscle with respect to the entire quadriceps muscle group, from the data of Narici et al. The VL muscle fascicle force was estimated by dividing VL
muscle force by the cosine of the angle of pennation of fascicles, measured during maximal isometric contraction","Fpt=T_max/MA

F_VL=Fpt*VL_PCSA_ratio

F_fascicle=F_VL/cos(alpha)



Patella tendon mo-
ment arm lengths were assessed using a 0.2-T MRI scanner (E-Scan,
Esaote Biomedica, Genoa, Italy) to allow calculation of tendon forces",F_fascicle/PCSA,,254.3,8.4,30.4,,847.9,27.0
4070,2,"9, experimental, post training",Mixed,VL,270.3 SD 81.3,9.3 SD 1.3,29.1 SD 8.4,,,939.3 SD 347.8,32.1 SD 7.4,,,,,,,,270.3,9.3,29.1,,939.3,32.1
4070,3,"9, Control, pre training",Mixed,VL,291 SD 79.8,8.4 SD 0.7,34.5 SD 8.6,,,791.5 SD 192.1,23.6 SD 6.1,,,,,,,,291.0,8.4,34.5,,791.5,23.6
4070,4,"9, Control, post training",Mixed,VL,291.1 SD 78.9,8.6 SD 0.9,34.1 SD 8.7,,,717.2 SD 202.7,21.5 SD 5.3,,,,,,,,291.1,8.6,34.1,,717.2,21.5
4070,5,"9, experimental, pre training",Mixed,QF,,,,,121.4 SD 61,,,,,,,,,,,,,121.4,,
4070,6,"9, experimental, post training",Mixed,QF,,,,,131.1 SD 55.3,,,,,,,,,,,,,131.1,,
4070,7,"9, Control, pre training",Mixed,QF,,,,,122.2 SD 33.5,,,,,,,,,,,,,122.2,,
4070,8,"9, Control, post training",Mixed,QF,,,,,108.2 SD 29.3,,,,,,,,,,,,,108.2,,
4070,9,,,,,,,,,,,,,,,,,,,,,,,
4070,10,,,,,,,,,,,,,,,,,,,,,,,
4070,11,,,,,,,,,,,,,,,,,,,,,,,
4040,1,12 men,M, PF,,,,V,179 SD 33.6,3865 SD 525,," Serial axial plane MRI scans were acquired along the length of the lateral head of the gastrocnemius muscle (GL) using
a fixed 0.2-T MRI scanner . The first scan was centered at the lower edge of the patella and was sufficient to include the origin of the GL; subsequent scans were carried out in contiguous 7-cm sections distally until the myotendi-
nous junction of the GL had been included (Fig. 1). Axial plane scans were obtained using a T1-weighted three-dimensional isotropic profile . Participants were supine for 15 min before the scan to allow fluid shifts to occur. ACSA  was then multiplied by the slice thickness (inclusive of gap) to give an estimate of muscle volume
. ","Fiber fascicle length (Lf) and pennation angle  were measured using B-Mode, real-time ultrasonography at the time point of MVC. Fascicle length Lf was defined as the length of the fascicle between the deep and superficial aponeurose
","The ACSA of the GL muscle was measured from each scan using digitizing software and imaging software (NIH image version 1.61/ppc, National Institutes of Health, Bethesda). 
PCSA (cm2) was
calculated as the ratio of GL Vol (cm3) to Lf (cm). ","MVC, corrected for antagonist activation


 Isometric plantarflexor MVC torque was recorded with the participants laying prone and the left foot secured to the foot adapter of an isokinetic dynamomete. Straps were used about the hips to prevent forward displacement of the body during maximal plantarflexions. Participants were positioned with the knee at full extension and the lateral malleolus aligned with the axis of rotation identified on the dynamometer.  Two isometric maximal voluntary plantarflexions (MVC) were performed at an ankle joint angle of *20° (the foot in dorsiflexion); 2 min separated each
MVC attempt. The foot was placed at 20° as this has been shown previously to correspond to the optimum fascicle length within the
physiological range of the gastrocnemius muscle (26). To ensure MVC was achieved, visual feedback was provided using an online graphical display, and consistent verbal encouragement was provided by the investigator. Maximal isometric dorsiflexions were performed after the plantarflexion MVC to obtain maximal dorsiflexor electromyographic (EMG) data for calculation of antagonist coactivation in
the tibialis anterior
","measured moment arm + lit assumptions of MA at MVC


Tendon force was calculated by dividing the
net plantarflexion torque (N m) by the Achilles tendon moment arm
length (m). To estimate the contribution of the GL to Achilles tendon force, the relative PCSA of the GL within the triceps. surae was calculated. Previously, relative PCSA of the quadriceps
muscle group has been used to determine the relative contribution of
each constituent muscle to the production patella tendon force.",,,,,,179.0,3865.0,
4040,2,11 boys,M,PF,,,,V,79.2 SD 21.5,2268 SD 507,,,,,,,,,,,,79.2,2268.0,
