CovidenceID,Method, Muscle Volume measurement, Fiber /fascicle length measurement , PCSA /ACSA calculation method, Torque measurement method, Force measurement/calculation method, miscellaneous
4184,1,,"sagittal ultrasound pictures of vastus lateralis (VL) and vastus intermedius (VI).
", Quadriceps CSA was measured from a CT X-ray scan taken at half femur height. Subjects were supine with the legs straight during scanning, The maximum voluntary isometric contraction strength (MVC) of the quadriceps was measured using a conventional strength-testing chair in which the subject was seated  with the hip and knee at right angles (Edwards et al. 1977). The  best of three values was measured at each test,"The maximum voluntary isometric contraction strength (MVC) of the quadriceps was measured using a conventional strength-testing chair in which the subject was seated with the hip and knee at right angles (Edwards et al. 1977). The best of three values was measured at each test. During the manoeuvre a percutaneous twitch superimposition technique (Ruther- ford et al. 1986) was used to test whether subjects could maximally activate their quadriceps during the isometric contraction

The force-generating capacity of the muscle was calculated as the ratio MVC/CSA.",
4184,2,,,,,,
4184,3,,,,,,
4162,1,"MRI
four heads of the quadriceps muscles from transverse plane images at 25 mm intervals from the distal to the proximal ends of the quadriceps. These cross-sectional areas were summed and multiplied by the distance between slices (2.5 cm) to estimate quadriceps muscle volume","The fascicle length and pennation angle used in these calculations were estimated using real-time B-mode Ultrasonography with a 7.5-MHz linear array probe. Measurements were collected at the mid belly of each of the four heads of the quadriceps muscles in the sagittal plane at the moment of peak force during MVC contractions

 Imaging software (Image J; v1.39b; National Institutes of 
Health, Bethesda, MA) was used to determine muscle fascicle length 
from the superficial to the deep aponeurosis.","Physiological cross-sectional area was calculated for each quadriceps muscle as: [muscle volume/fascicle length], and the sum taken as quadriceps PCSA","custom-built isometric dynamometer was used to assess knee extension MVC torque of the dominant leg with participants sitting with the knee and hip angles at 90

Voluntary activation was assessed using a version of the interpolated twitch technique (28,29) with stimulating electrodes covering the proximal and distal portions of the quadriceps

current increased to deliver supramaximal “doublet” (two 200-μs pulses separated by 10 ms) stimuli over the quadriceps muscle group. Stimulation was applied to the relaxed muscle 1  s prior to a maximal voluntary effort and then again at the highest point of the MVC. In the cross-sectional study, a third doublet was also applied 2 s after the MVC. The voluntary activation test was performed twice and the result giving the highest voluntary activation was accepted.","pecific force was estimated as: 
[(external torque/moment arm)/(PCSA * pennation angle)] or simpli-
fied to: [Patella tendon force/(PCSA * pennation angle)] 

The patella tendon moment arm was imaged with the leg at full extension and estimated from sagittal plane slices as the distance from the mid-contact point between the femoral condyles and tibial plateau to the patella tendon. The moment arm length was multiplied by 0.99 to adjust for the difference between full knee extension to 90° flexion (24) [the angle at which maximal voluntary contraction (MVC) was measured] and the resulting value was multiplied by 1.14 to adjust for the 14% increase in moment arm in transition from rest to MVC

The patella tendon force was estimated
from the moment equilibrium equation around the knee joint (27) by dividing the MVC torque by the patella tendon moment arm length.

For calculations of in situ specific force, the quadriceps PCSA was multiplied by the cosine of the fascicle pennation angle to account for the reduction in transmission of forces from fibers to aponeurosis to adjust for the angle between the fascicles and the line of pull through the patella tendon. Specific force was estimated as: [(external torque/moment arm)/(PCSA * pennation angle)] or simplified to: [Patella tendon force/(PCSA * pennation angle)

The external force used in the calculation of specific force was the “true MVC”, which is the estimated MVC if full voluntary activation was possible: True MVC = MVC immediately prior to the superimposed doublet/(1 – t/T). Where t was the amplitude of the superimposed doublet (ie, the size of the additional peak) and T the value of the doublet applied to the resting muscle 1 s prior to MVC.",
4162,2,,,,,,
4162,3,,,,,,
4135,1,"Serial axial plane MRI scans were acquired along the length of the GL using a fixed 0.2 T MRI scanner

To estimate GL muscle volume (VOL),ACSA of each slice was summed and multiplied by the slice thickness inclusive of gap
","Muscle architecture was recorded from participants dur-ing performance of PF MVC 
Fibre fascicle length (Lf) and pennation angle () were measured using B-Mode, real time ultrasonography
",PCSA (cm2) was calculated as the ratio of GL VOL(cm3) to Lf (cm).,"Isometric plantarflexion (PF) maximal voluntary contraction (MVC) torque was recorded with the subjects in a prone position and the left foot secured to the foot adapter of an isokinetic dynamometer

Two isometric maximal voluntary plantarflexion contractions (MVC) were performed at an ankle joint angle of -20° (the foot in dorsiflexion), 2 min separated each MVC attempt. The foot was placed at -20° as this has previously been shown to be the optimum fascicle length within the physiological range of the gastrocnemius muscle (Maganaris2003)

The sum of the torque generated during the strongest MVC and that of the twitch-doublet was considered at the true maximal MVC and used for the calculation ofspecific tension [as described previously by Fukunaga et al. (1996) and Maganaris et al. (2001)

The value of torque calculated with this method probably represents a peak MVC, and not the true maximal MVC as would have been obtained by adding a tetanus rather than doublet to the voluntary torque. However, considering that the delivery of a tetanic current is extremely painful and that the population involved older individuals, we opted to use a doublet instead.
Two maximal isometric dorsiflexion (DF) contractions were performed after the PF MVC to obtain maximal dorsiflexion electromyographic (EMG) data for calculation of antagonist co-activation in the tibialis anterior. PF and DF MVC attempts were held for approximately 4 s, a time amply sufficient to reach a torque plateau.

In order to obtain an estimation of specific force without the confounding variable of increased muscle activation resulting from training, supramaximal doublets were superimposed over the second plantarflexor MVC.

The plantarflexor torque used in the estimation of specific force was determined as: PF MVC torque +superimposed doublet torque, as described previously (Maganaris et al. 2001).

The co-activation torque produced by the dorsiflexors was estimated assuming a linear relation between torque and EMG activity. To determine isolated plantar flexor torque, the dorsiflexor coactivation torque was added to the net plantarflexor torque that was obtained during Plantarflexor MVC.
","In vivo MRI was performed to determine moment arm
length of the achilles tendon at rest.  F=tq/MA

In vivo MRI was performed to determine moment arm length of the achilles tendon at rest. A series of sagittal plane scans were taken of the left ankle with the foot secured at a right angle to the tibia (0°), at ¡ 20° dorsiflexion and 20° plantarflexion. Three scans were required to determine the centre of rotation of the talocrural joint from the method described previously (Rugg et al. 1990).

Achilles tendon force was calculated by dividing PF
torque by the achilles tendon moment arm length.

In order to estimate the contribution of the GL to achilles tendon force, the relative PCSA of the GL within the triceps surae was calculated


We have previously determined that the GL constitutes 11% of the triceps surae PCSA(Morse et al. 2005a), and the triceps surae group was estimated to represent 91% of the total PF PCSA in the elderly (Wickiewicz et al. 1983); hence this seems to justify the assumption that the triceps surae PCSA represents the main PCSA of the plantarflexors

Once the GL component of the achilles tendon force was calculated, this was divided by cos  to determine the fascicle force (Ff).

Specific force of the GL muscle was calculated by dividing GL Ff by GL PCSA.

",
4135,2,,,,,,
4135,3,,,,,,
4128,1,"maging-based methods were used for a 
double aim: the measurement through segmentation of 
volumes and muscle length for Biceps Brachii (Bic), 
Brachialis (Bra) and Brachioradialis (Brd) muscles and to 
extract moment arm (MA),","MRI acquisition on a Philips system was used to acquire limb images. 
 In literature fiber length/muscle length 
ratios can be found [6] and allow us to define a value of fiber 
lengths sized on the individual muscle dimensions.","Vm/lf

In literature fiber length/muscle length ratios can be found [6] and allow us to define a value of fiber lengths sized on the individual muscle dimensions
","The 
participants were then asked to perform a maximal voluntary 
isometric contraction (MVC) of 5 seconds with the dominant 
arm at 90° flexion position in order to assess the maximal 
external force generated.","TQ/MA: maging-based  methods were used for a 
double aim: the measurement through segmentation of 
volumes and muscle length for Biceps Brachii (Bic), 
Brachialis (Bra) and Brachioradialis (Brd) muscles and to 
extract moment arm (MA), 

MRI used  to extract moment arm (MA),
 and adjustment of MA at 90° angle was performed 
using modified Ramsay equation

The participants were then asked to perform a maximal voluntary isometric contraction (MVC) of 5 seconds with the dominant arm at 90° flexion position in order to assess the maximal external force generated

Measurements of forearm length was obtained by determining the anatomical distance between standard bony landmarks

In order to assess forces generated by the muscles at fiber
level, a biomechanical model of the arm was define

Percentage of each muscle's moment (Mi) was calculated starting from the total joint moment as the ratio

M%=PCSAxMA / sum(PCSAxMA)

F=M/MA

ST=F/(PCSAxCos(alpha))
",
