"","CovidenceID","StudyID","Year","newScore","aveAge","N","Muscle","trainingtype","agetype","muscleName","Gender","CSA","V_or_S","Miscellaneous","avePCSA","aveTorque","aveForce","aveST","mv_method","fl_method","pa_method","t_method","ma_method","pcsa_method","f_method","Calc","Assumptions"
"1",4162,"McPhee 2018",2018,23,23,16,"QF","Normal","YNG","Quadriceps Femoris","M","PCSA","V","",231,262,5555,29,"MRI, CSA x slice interval","US at MVC","Literature value","max MVC + ITT, Activation correction","MRI at rest, MVC & JA correction","(Muscle vol/Fiber length)*cos(Î¸)","Tendon Force ","
To calculate specific tension in this study, the following steps were taken:
1. Measurement of torque: The torque was measured using an isokinetic dynamometer (Biodex System 3, Biodex Medical Systems Inc., Shirley, NY) at an angular velocity of 60°/s. The participants performed three maximal voluntary contractions (MVC) for each leg, with a 30-second rest between each contraction. The highest torque value was recorded for each leg.
2. Calculation of external force: The external force used in the calculation of specific tension was the ""true MVC,"" which was estimated using the following formula: True MVC = MVC immediately prior to the superimposed doublet/(1 - t/T). Where t was the amplitude of the superimposed doublet (ie, the size of the additional peak) and T was the value of the doublet applied to the resting muscle 1 s prior to MVC.
3. Measurement of PCSA: The PCSA was calculated using the following formula: PCSA = (muscle area × pennation angle × cosine of the pennation angle)/2. The muscle area was measured using magnetic resonance imaging (MRI) scans, and the pennation angle was measured using ultrasound imaging.
4. Calculation of specific tension: Specific tension was estimated using the following formula: Specific tension = (external torque/moment arm)/(PCSA * pennation angle) or simplified to: Patella tendon force/(PCSA * pennation angle). The external torque was calculated using the torque measured during the MVC, the moment arm was measured using anthropometric measurements, and the PCSA was calculated using the formula mentioned above. The pennation angle was measured using ultrasound imaging.
5. Calculation of in situ specific force: To account for the reduction in transmission of forces from fibers to aponeurosis due to the angle between the fascicles and the line of pull through the patella tendon, in situ specific force was estimated using the following formula: (external torque/moment arm)/(PCSA * pennation angle). The external torque was calculated using the torque measured during the MVC, the moment arm was measured using anthropometric measurements, and the PCSA was calculated using the formula mentioned above. The pennation angle was measured using ultrasound imaging.","

The calculation of specific force in this study involves dividing the external force used in the calculation by the product of PCSA (physiological cross-sectional area) and pennation angle. The external force used in the calculation of specific force was the ""true MVC,"" which is the estimated MVC if full voluntary activation was possible. This calculation assumes that the true MVC can be accurately measured using the superimposed doublet technique, which involves applying a doublet (a small additional peak) to the resting muscle and measuring the amplitude of the resulting peak. However, this technique may not accurately reflect the true MVC due to factors such as fatigue or variability in muscle activation. Additionally, the calculation assumes that PCSA can be accurately measured using muscle biopsies taken from midway along the length of the right vastus lateralis muscle (VL). However, this measurement may not accurately reflect the overall muscle volume due to variations in muscle fiber orientation and distribution throughout the muscle."
"2",4135,"Morse 2007",2007,26,72.7,11,"GL","Untrained","OLD","Gastrocnemius Lateralis","M","PCSA","V","",27.2,NA,262.9,8.9,"MRI, CSA x slice interval","US at MVC","Measured","max MVC + ITT, Activation & Coactivation correction","MRI at rest","(Muscle vol/Fiber length)*cos(Î¸)","Tendon Force using relative PCSA","
To calculate specific tension (N/cm2) for the gastrocnemius (GL) muscle in this study, the following steps were taken:
1. Measurement of torque (Nm) was obtained using an isokinetic dynamometer during voluntary plantarflexion contractions at an angular velocity of 60°/s.
2. The moment arm length (cm) was calculated as the perpendicular distance from the center of rotation of the talocrural joint to the Achilles tendon action line.
3. Achilles tendon force (N) was calculated by dividing PF torque by the moment arm length.
4. The PCSA (cm2) of the GL muscle was calculated as the ratio of GL volume (cm3) to Lf (cm). Lf was measured using ultrasound at the time point of superimposed stimulation to ensure accuracy.
5. The relative PCSA of the GL within the triceps surae was calculated to estimate the contribution of the GL to Achilles tendon force. This method has been previously reported (Narici et al., 1992).
6. Specific tension (N/cm2) for the GL muscle was calculated by dividing GL fascicle force (N) by the PCSA (cm2).
7. The specific tension for the GL muscle was then compared to previous studies to determine if it was increased during voluntary plantarflexion contractions at an angular velocity of 60°/s.","The calculation of specific tension in this study involves considering the sum of torque generated during the strongest MVC and that of the twitch-doublet at the true maximal MVC. However, the value of torque calculated with this method probably represents a peak MVC rather than the true maximal MVC that would have been obtained by adding a tetanus rather than a doublet to the voluntary torque. This assumption is made due to the fact that delivering a tetanic current is extremely painful for older individuals involved in the study. Therefore, the calculation of specific tension in this study may have some weakness in terms of accurately measuring muscle force or volume."
"3",4128,"Marchetta 2012",2012,17,30,7,"BIC","Normal","YNG","Biceps Brachii","M","","V","",NA,4056.6,NA,53.407,"MRI, CSA x slice interval","MRI muscle length x literature ratio","Literature value","max MVC","MRI at rest, JA correction","(Muscle vol/Fiber length)*cos(Î¸)","Tendon Force using relative (PCSA x MA)","

To calculate specific tension (ST) for the analyzed muscles in this study, the following steps can be followed:
1. Measure the torque (M) generated by each muscle using the inverse equation: M = Fi * r, where Fi is the force generated by the muscle's tendon and r is the moment arm length.
2. Calculate the PCSA (physiological cross-sectional area) of each muscle using the formula: PCSA = MuscleVolu / (Lfiber * s * cos(θ)), where Lfiber is the length of muscle fibers, s is the ratio of fiber length to muscle length, and θ is the pennation angle.
3. Calculate the specific tension (ST) of each muscle using the formula: ST = Fi / PCSA.
4. Repeat steps 1-3 for each muscle in the study population.
5. Analyze the results to determine if there is a correlation between PCSA and force generated by the muscles in the subjects who took part in the experiment (as shown in Fig. 3).","

The study aims to compare the accuracy of measurements in determining specific tension through MRI imaging and literature data. The weakness in calculating specific tension may lie in the assumptions made in measuring muscle force or volume. For example, in measuring muscle force, the study may assume that the force recorded during maximal voluntary isometric contraction accurately represents the force generated by the muscle. However, this may not always be the case due to factors such as muscle fatigue or variability in muscle activation levels. In measuring muscle volume or cross-sectional area (CSA), the study may assume that the MRI images accurately represent the true size of the muscle. However, this may also be affected by factors such as muscle hydration levels or the quality of the MRI images themselves. These assumptions may affect the accuracy of the specific tension calculations, which could impact the results of the study."
"4",4128,"Marchetta 2012",2012,17,30,7,"BRA","Normal","YNG","Brachialis","M","","V","",NA,1598.6,NA,56.51,"MRI, CSA x slice interval","MRI muscle length x literature ratio","Literature value","max MVC","MRI at rest, JA correction","(Muscle vol/Fiber length)*cos(Î¸)","Tendon Force using relative (PCSA x MA)","

To calculate specific tension (ST) for the analyzed muscles in this study, the following steps can be followed:
1. Measure the torque (M) generated by each muscle using the inverse equation: M = Fi * r, where Fi is the force generated by the muscle's tendon and r is the moment arm length.
2. Calculate the PCSA (physiological cross-sectional area) of each muscle using the formula: PCSA = MuscleVolu / (Lfiber * s * cos(θ)), where Lfiber is the length of muscle fibers, s is the ratio of fiber length to muscle length, and θ is the pennation angle.
3. Calculate the specific tension (ST) of each muscle using the formula: ST = Fi / PCSA.
4. Repeat steps 1-3 for each muscle in the study population.
5. Analyze the results to determine if there is a correlation between PCSA and force generated by the muscles in the subjects who took part in the experiment (as shown in Fig. 3).","

The study aims to compare the accuracy of measurements in determining specific tension through MRI imaging and literature data. The weakness in calculating specific tension may lie in the assumptions made in measuring muscle force or volume. For example, in measuring muscle force, the study may assume that the force recorded during maximal voluntary isometric contraction accurately represents the force generated by the muscle. However, this may not always be the case due to factors such as muscle fatigue or variability in muscle activation levels. In measuring muscle volume or cross-sectional area (CSA), the study may assume that the MRI images accurately represent the true size of the muscle. However, this may also be affected by factors such as muscle hydration levels or the quality of the MRI images themselves. These assumptions may affect the accuracy of the specific tension calculations, which could impact the results of the study."
"5",4128,"Marchetta 2012",2012,17,30,7,"BRD","Normal","YNG","Brachioradialis","M","","V","",NA,2106,NA,53.452,"MRI, CSA x slice interval","MRI muscle length x literature ratio","Literature value","max MVC","MRI at rest, JA correction","(Muscle vol/Fiber length)*cos(Î¸)","Tendon Force using relative (PCSA x MA)","

To calculate specific tension (ST) for the analyzed muscles in this study, the following steps can be followed:
1. Measure the torque (M) generated by each muscle using the inverse equation: M = Fi * r, where Fi is the force generated by the muscle's tendon and r is the moment arm length.
2. Calculate the PCSA (physiological cross-sectional area) of each muscle using the formula: PCSA = MuscleVolu / (Lfiber * s * cos(θ)), where Lfiber is the length of muscle fibers, s is the ratio of fiber length to muscle length, and θ is the pennation angle.
3. Calculate the specific tension (ST) of each muscle using the formula: ST = Fi / PCSA.
4. Repeat steps 1-3 for each muscle in the study population.
5. Analyze the results to determine if there is a correlation between PCSA and force generated by the muscles in the subjects who took part in the experiment (as shown in Fig. 3).","

The study aims to compare the accuracy of measurements in determining specific tension through MRI imaging and literature data. The weakness in calculating specific tension may lie in the assumptions made in measuring muscle force or volume. For example, in measuring muscle force, the study may assume that the force recorded during maximal voluntary isometric contraction accurately represents the force generated by the muscle. However, this may not always be the case due to factors such as muscle fatigue or variability in muscle activation levels. In measuring muscle volume or cross-sectional area (CSA), the study may assume that the MRI images accurately represent the true size of the muscle. However, this may also be affected by factors such as muscle hydration levels or the quality of the MRI images themselves. These assumptions may affect the accuracy of the specific tension calculations, which could impact the results of the study."
"6",4127,"Akagi 2009",2009,13,24.3,30,"EF","Normal","YNG","Elbow Flexors","M","ACSA","V","",18.2,61.1,265,14.7,"MRI, CSA x slice interval","none","none","max MVC","Limb length","MRI, max ACSA","External Force (Limb Force)","
To calculate the specific tension of a muscle, we need to determine the muscle force (F), PCSA (physiological cross-sectional area), and muscle volume (MV). In this study, we can measure the joint torque (TQ) instead of muscle force. The steps to calculate specific tension using torque, PCSA, and MV are:
1. Measure the joint torque (TQ) for the muscle of interest during a specific task (e.g., knee extension).
2. Calculate the muscle force (F) using the following formula: F = TQ/lever arm (LA), where LA is the distance from the joint center to the line of action of the muscle force.
3. Calculate the PCSA of the muscle using the following formula: PCSA = (MV/L) * (cos(θ) * sin(θ)) / (cos(θ) * sin(θ) + (L * tan(θ))), where MV is the muscle volume, L is the length of the muscle, and θ is the pennation angle (the angle between the muscle fibers and the line of action of the muscle force).
4. Calculate the specific tension (ST) using the following formula: ST = F/PCSA.
Note that the calculation of PCSA requires the measurement of muscle volume, which can be challenging in vivo. Therefore, some researchers have used the joint torque per muscle volume (TQ/MV) or muscle mass as an index of muscle strength per size. However, the relationship between TQ/MV and specific tension is not always equivalent to the PCSA-F relationship due to differences in muscle fiber/moment arm ratio among individuals.","

The weakness in calculating specific tension in this study lies in the difficulty of precisely measuring all the variables required to calculate the PCSA of a muscle in vivo, notably in survey examining a large population. While theoretically, the specific tension of a muscle can be determined by dividing muscle force (F) by PCSA, the calculation of PCSA requires the determination of muscle volume (MV), muscle fiber length, and muscle fiber pennation angle. However, measuring all these variables in vivo can be challenging, especially in large population studies. Therefore, some researchers have used joint torque per muscle volume (TQ/MV) or muscle mass as an index of muscle strength per size, assuming an identical muscle fiber/moment arm ratio for different individuals. However, it is unclear whether TQ/MV is a substitute for specific tension in elderly individuals."
"7",2995,"Klein 2001",2001,18,22.6,20,"EE","Normal","YNG","Elbow Extendors","M","PCSA","V","",53,NA,292,5.5,"MRI, CSA x slice interval","MRI muscle length x literature ratio","Literature value","max MVC + ITT, Activation & Coactivation correction","none","(Muscle vol/Fiber length)*cos(Î¸)","External Force (Limb Force)","
To calculate specific tension (N/cm2), the following steps can be followed:
1. Measure the torque (Nm) generated by the muscle during an isometric contraction using a dynamometer or other appropriate equipment.
2. Calculate the force (N) generated by the muscle by dividing the torque by the moment arm (cm) of the joint being tested.
3. Determine the physiological cross-sectional area (PCSA) of the muscle using MRI and the estimated fascicle length (cm) determined from cadavers.
4. Calculate the specific tension (N/cm2) by dividing the force (N) generated by the muscle by the PCSA (cm2).
5. Normalize the specific tension for age by comparing it to the specific tension values obtained from young subjects in previous studies.
6. Analyze the data to determine if there are significant differences in specific tension between young and elderly subjects for each muscle tested.","

The study mentions that the EEs (elbow extensors) had weaker electromyographic (EMG) activity compared to the EFs (elbow flexors) despite having almost twice the physiological cross-sectional area (PCSA). This resulted in a lower normalized force (NF) in the EEs compared to the EFs by almost 50%. Part of the difference in NF between the muscle groups is due to the fact that the pronator teres and the extensor carpi radialis longus muscles, which can function as elbow flexors, were not included in the EF volume. Consequently, NF of the EFs was likely overestimated by 15% in the present study (38). A more important factor contributing to the lower NF in the EEs compared to the EFs is the smaller moment arm length of the triceps brachii compared to the EFs (38). Therefore, the study highlights that assumptions in measuring muscle force or volume can affect the calculation of specific tension. In this case, the exclusion of certain muscles in the EF volume led to an overestimation of NF in the EFs."
"8",2995,"Klein 2001",2001,15,22.6,20,"EF","Normal","YNG","Elbow Flexors","M","PCSA","V","",20.2,NA,NA,16.5,"MRI, CSA x slice interval","MRI muscle length x literature ratio","none","max MVC + ITT, Activation & Coactivation correction","none","Muscle vol/Fiber length","External Force (Limb Force)","
To calculate specific tension (N/cm2), the following steps can be followed:
1. Measure the torque (Nm) generated by the muscle during an isometric contraction using a dynamometer or other appropriate equipment.
2. Calculate the force (N) generated by the muscle by dividing the torque by the moment arm (cm) of the joint being tested.
3. Determine the physiological cross-sectional area (PCSA) of the muscle using MRI and the estimated fascicle length (cm) determined from cadavers.
4. Calculate the specific tension (N/cm2) by dividing the force (N) generated by the muscle by the PCSA (cm2).
5. Normalize the specific tension for age by comparing it to the specific tension values obtained from young subjects in previous studies.
6. Analyze the data to determine if there are significant differences in specific tension between young and elderly subjects for each muscle tested.","

The study mentions that the EEs (elbow extensors) had weaker electromyographic (EMG) activity compared to the EFs (elbow flexors) despite having almost twice the physiological cross-sectional area (PCSA). This resulted in a lower normalized force (NF) in the EEs compared to the EFs by almost 50%. Part of the difference in NF between the muscle groups is due to the fact that the pronator teres and the extensor carpi radialis longus muscles, which can function as elbow flexors, were not included in the EF volume. Consequently, NF of the EFs was likely overestimated by 15% in the present study (38). A more important factor contributing to the lower NF in the EEs compared to the EFs is the smaller moment arm length of the triceps brachii compared to the EFs (38). Therefore, the study highlights that assumptions in measuring muscle force or volume can affect the calculation of specific tension. In this case, the exclusion of certain muscles in the EF volume led to an overestimation of NF in the EFs."
"9",2837,"Bamman 2000",2000,11,36,32,"TS","Untrained","MID","Triceps Surae","F","PCSA","","",291.2,NA,568.2,1.97,"MRI, CSA x slice interval","MRI muscle length x literature ratio","Literature value","none","none","(Muscle vol/Fiber length)*cos(Î¸)","External Force (Limb Force)","
To calculate specific tension in this study, the following steps can be followed:
1. Measure the torque produced by the muscle during maximum voluntary contraction (MVC) using a dynamometer.
2. Calculate the force produced by the muscle by dividing the torque by the distance between the axis of rotation and the line of action of the force (assuming the muscle acts at right angles to the axis of rotation).
3. Measure the cross-sectional area (CSA) of the muscle using magnetic resonance imaging (MRI) or computed tomography (CT) scans.
4. Calculate the pennation angle (PA) of the muscle fibers using MRI or CT scans.
5. Calculate the pennated CSA (PCSA) by multiplying the CSA by the cosine of the PA.
6. Calculate the specific tension by dividing the force produced by the muscle by the PCSA.
7. Analyze the correlation between specific tension and other muscle size measures (such as CSA) to determine the strength-size relationship.
Note: In this study, the authors acknowledge that none of the muscle size measures are without error and that this error cannot be ignored when interpreting the muscle strength-size relationship. They also suggest that if true specific tension in vivo is a measurement of interest, PCSA and tendon tension should probably be determined accurately.","

There is no weakness in the calculation of specific tension mentioned in the given context information. The study used linear regression to further study the relationship between MVC (dependent variable) and six assessments of lower leg muscle size (independent variable) (lower leg LM, circumference, estimated muscle 1boneCSA, ACSA, VOLm, and PCSA). The Y-intercept was considered different from zero if the 95% confidence limits did not contain zero for regression analysis. The study also tested group differences between endurance-trained (N=57) and untrained (N=532) subjects using one-tailed independent t-test with the apriori assumption that the trained group would have more LM in the lower leg than the untrained group. Significance for all tests was accepted at a P,0.05 level of confidence. Therefore, the weakness in calculation of specific tension is not mentioned in the study."
"10",2833,"Maden-Wilkinson 2020",2020,24,25,52,"QF","Untrained","YNG","Quadriceps Femoris","M","PCSA","V","",174.4,NA,5576,33.3,"MRI, CSA x slice interval","US at rest","Measured","max MVC, Coactivation correction","MRI at rest, JA correction","(Muscle vol/Fiber length)*cos(Î¸)","Tendon Force ","
To calculate specific tension (ST), the following steps were taken:
1. Calculate maximal tendon force (FT) by correcting knee extension moment of force (MVT) for antagonist torque (HEMG at knee extensor MVT normalized to HEMG MAX (i.e., at KF MVT) multiplied by KF MVT).
2. Calculate physiological cross-sectional area (PCSA) per constituent muscle by dividing individual muscle volume by F L (mean of sites for that constituent).
3. Sum the PCSA of the four constituent muscles to get quadriceps physiological cross-sectional area (QPCSA).
4. Calculate effective physiological cross-sectional area (EFFPCSA) by multiplying PCSA by cosine of mean /H9008P (28).
5. Sum the EFFPCSA of the four constituent muscles to get quadriceps effective physiological cross-sectional area (Q EFFPCSA).
6. Calculate specific tension (ST) by dividing maximal tendon force (FT) by quadriceps effective physiological cross-sectional area (Q EFFPCSA).","

There is no weakness in calculation of specific tension mentioned in the given context information. The study found modest differences in specific tension ( /H110018%), even after the average 4 yr of regular, heavy RT of LTT. The authors did not mention any assumptions in measuring muscle force or volume that could have affected the calculation of specific tension."
