CovidenceID,aveAge (years),aveHeight (cm),aveWeight (kg)," Number of subjects, N", Muscle,Type,Gender,Voluntary (V) or Stimulated (S),aveVol (cm3),aveFL (cm),avePCSA (cm2),aveTorque (Nm),aveForce (N),aveST (N/cm2),Muscle volume method,Fascicle length method,Pennation angle method,CSA,PCSA method,Torque method,Moment arm method,Force method,Specific Tension method,Overall note, Miscellaneous,Score,Age type,Training type,Muscle,name,fast/slow,Joint type,antigrav/grav,Joint action,secondary joint action,anatomical location,Torque-Force method,Torque-Force method_score,Moment arm method_score,Muscle volume method_score,Fascicle length method_score,Pennation angle method_score,PCSA method_score,Specific Tension method_score,newScore,Covidence #,Study ID,Title_y,Country,Study design,Authors,Year,Journal
4162,23,176,70.6,16,QF,YNG,M,V,,9.06,231,262,5555,29,"MRI, CSA x slice interval",US at MVC,Literature value,PCSA,(Muscle vol/Fiber length)*cos(Î¸),"max MVC + ITT, Activation correction","MRI at rest, MVC & JA correction",Tendon Force ,Force/rPCSA,,,4,YNG,Normal,QF,Quadriceps Femoris,60/40,mixed,antigravity,knee extensor,hip flexor,Thigh,"max MVC + ITT, Activation correction Tendon Force ",10,2,4,4,1,0,0,21,4162,McPhee 2018,"The contributions of fiber atrophy, fiber loss, in situ specific force, and voluntary activation to weakness in sarcopenia",UK,Cross sectional study,"McPhee, Jamie S; Cameron, James; Maden-Wilkinson, Thomas; Piasecki, Mathew; Yap, Moi Hoon; Jones, David A; Degens, Hans",2018,J Gerontol A Biol Sci Med Sci
4162,22,167,61.2,15,QF,YNG,F,V,,8.66,175,182,4921,32,"MRI, CSA x slice interval",US at MVC,Literature value,PCSA,(Muscle vol/Fiber length)*cos(Î¸),"max MVC + ITT, Activation correction","MRI at rest, MVC & JA correction",Tendon Force ,Force/rPCSA,,,4,YNG,Normal,QF,Quadriceps Femoris,60/40,mixed,antigravity,knee extensor,hip flexor,Thigh,"max MVC + ITT, Activation correction Tendon Force ",10,2,4,4,1,0,0,21,4162,McPhee 2018,"The contributions of fiber atrophy, fiber loss, in situ specific force, and voluntary activation to weakness in sarcopenia",UK,Cross sectional study,"McPhee, Jamie S; Cameron, James; Maden-Wilkinson, Thomas; Piasecki, Mathew; Yap, Moi Hoon; Jones, David A; Degens, Hans",2018,J Gerontol A Biol Sci Med Sci
4162,72,174,78.9,20,QF,OLD,M,V,,9.5,174,164,3472,24,"MRI, CSA x slice interval",US at MVC,Literature value,PCSA,(Muscle vol/Fiber length)*cos(Î¸),"max MVC + ITT, Activation correction","MRI at rest, MVC & JA correction",Tendon Force ,Force/rPCSA,,,4,OLD,Normal,QF,Quadriceps Femoris,60/40,mixed,antigravity,knee extensor,hip flexor,Thigh,"max MVC + ITT, Activation correction Tendon Force ",10,2,4,4,1,0,0,21,4162,McPhee 2018,"The contributions of fiber atrophy, fiber loss, in situ specific force, and voluntary activation to weakness in sarcopenia",UK,Cross sectional study,"McPhee, Jamie S; Cameron, James; Maden-Wilkinson, Thomas; Piasecki, Mathew; Yap, Moi Hoon; Jones, David A; Degens, Hans",2018,J Gerontol A Biol Sci Med Sci
4162,71,160,67.3,20,QF,OLD,F,V,,8.84,130,116,2928,27,"MRI, CSA x slice interval",US at MVC,Literature value,PCSA,(Muscle vol/Fiber length)*cos(Î¸),"max MVC + ITT, Activation correction","MRI at rest, MVC & JA correction",Tendon Force ,Force/rPCSA,,,4,OLD,Normal,QF,Quadriceps Femoris,60/40,mixed,antigravity,knee extensor,hip flexor,Thigh,"max MVC + ITT, Activation correction Tendon Force ",10,2,4,4,1,0,0,21,4162,McPhee 2018,"The contributions of fiber atrophy, fiber loss, in situ specific force, and voluntary activation to weakness in sarcopenia",UK,Cross sectional study,"McPhee, Jamie S; Cameron, James; Maden-Wilkinson, Thomas; Piasecki, Mathew; Yap, Moi Hoon; Jones, David A; Degens, Hans",2018,J Gerontol A Biol Sci Med Sci
4135,72.7,169.3,78.4,11,GL,OLD UT EXP,M,V,132.9,4.9,27.2,,262.9,8.9,"MRI, CSA x slice interval",US at MVC,Measured,PCSA,(Muscle vol/Fiber length)*cos(Î¸),"max MVC + ITT, Activation & Coactivation correction",MRI at rest,Tendon Force using relative PCSA,Force/rPCSA,"method of estimating
the relative contribution of each constituent muscle to
the total tendon force component from relative PCSA of
each constituent of a muscle group. We have previously determined
that the GL constitutes 11% of the triceps surae PCSA
(Morse et al. 2005a), and the triceps surae group was estimated
to represent 91% of the total PF PCSA in the elderly
(Wickiewicz et al. 1983); hence this seems to justify the assumption that the triceps surae PCSA represents
the main PCSA of the plantarXexors",,2,OLD,Untrained,GL,Gastrocnemius Lateralis,50/50,biarticular,antigravity,ankle plantar flexor,knee flexor,Lower leg,"max MVC + ITT, Activation & Coactivation correction Tendon Force using relative PCSA",9,2,4,4,2,0,0,21,4135,Morse 2007,Gastrocnemius specific force is increased in elderly males following a 12-month physical training programme,UK,Randomised controlled trial,"Morse, Christopher I; Thom, Jeanette M; Mian, Omar S; Birch, Karen M; Narici, Marco V",2007,Eur J Appl Physiol
4135,72.7,169.3,78.4,11,GL,OLD T EXP,M,V,161.8,5.2,31.8,,343.5,11.2,"MRI, CSA x slice interval",US at MVC,Measured,PCSA,(Muscle vol/Fiber length)*cos(Î¸),"max MVC + ITT, Activation & Coactivation correction",MRI at rest,Tendon Force using relative PCSA,Force/rPCSA,,,2,OLD,Trained,GL,Gastrocnemius Lateralis,50/50,biarticular,antigravity,ankle plantar flexor,knee flexor,Lower leg,"max MVC + ITT, Activation & Coactivation correction Tendon Force using relative PCSA",9,2,4,4,2,0,0,21,4135,Morse 2007,Gastrocnemius specific force is increased in elderly males following a 12-month physical training programme,UK,Randomised controlled trial,"Morse, Christopher I; Thom, Jeanette M; Mian, Omar S; Birch, Karen M; Narici, Marco V",2007,Eur J Appl Physiol
4135,73.9,170.4,72.8,8,GL,OLD UT Control,M,V,129.8,5.2,27.1,,254.6,9.8,"MRI, CSA x slice interval",US at MVC,Measured,PCSA,(Muscle vol/Fiber length)*cos(Î¸),"max MVC + ITT, Activation & Coactivation correction",MRI at rest,Tendon Force using relative PCSA,Force/rPCSA,,,2,OLD,Untrained,GL,Gastrocnemius Lateralis,50/50,biarticular,antigravity,ankle plantar flexor,knee flexor,Lower leg,"max MVC + ITT, Activation & Coactivation correction Tendon Force using relative PCSA",9,2,4,4,2,0,0,21,4135,Morse 2007,Gastrocnemius specific force is increased in elderly males following a 12-month physical training programme,UK,Randomised controlled trial,"Morse, Christopher I; Thom, Jeanette M; Mian, Omar S; Birch, Karen M; Narici, Marco V",2007,Eur J Appl Physiol
4135,73.9,170.4,72.8,8,GL,OLD T Control,M,V,133.6,5,28.5,,263.3,9.5,"MRI, CSA x slice interval",US at MVC,Measured,PCSA,(Muscle vol/Fiber length)*cos(Î¸),"max MVC + ITT, Activation & Coactivation correction",MRI at rest,Tendon Force using relative PCSA,Force/rPCSA,,,2,OLD,Untrained,GL,Gastrocnemius Lateralis,50/50,biarticular,antigravity,ankle plantar flexor,knee flexor,Lower leg,"max MVC + ITT, Activation & Coactivation correction Tendon Force using relative PCSA",9,2,4,4,2,0,0,21,4135,Morse 2007,Gastrocnemius specific force is increased in elderly males following a 12-month physical training programme,UK,Randomised controlled trial,"Morse, Christopher I; Thom, Jeanette M; Mian, Omar S; Birch, Karen M; Narici, Marco V",2007,Eur J Appl Physiol
4128,30,,,7,BIC,YNG ,M,V,,,,4056.6,,53.407,"MRI, CSA x slice interval",MRI muscle length x literature ratio,Literature value,,(Muscle vol/Fiber length)*cos(Î¸),max MVC,"MRI at rest, JA correction",Tendon Force using relative (PCSA x MA),Force/rPCSA,each muscle moment contribution was based on relative (PCSA x MA),,7,YNG,Normal,BIC,Biceps Brachii,50/50,mixed,non-antigravity,elbow flexor,,Upper arm,max MVC Tendon Force using relative (PCSA x MA),6,2,4,2,1,0,0,15,4128,Marchetta 2012,Image-based measurement of muscles parameters for the assessment of specific tension in elbow flexors, Italy,Cohort study,"Marchetta, E; Rastelli, F; Chiavaroli, S; Tresoldi, D; Cadioli, M; Falini, A; Rizzo, G; Lafortuna, CL",2012,GNB
4128,30,,,7,BRA,YNG ,M,V,,,,1598.6,,56.51,"MRI, CSA x slice interval",MRI muscle length x literature ratio,Literature value,,(Muscle vol/Fiber length)*cos(Î¸),max MVC,"MRI at rest, JA correction",Tendon Force using relative (PCSA x MA),Force/rPCSA,,,7,YNG,Normal,BRA,Brachialis,Fast,monoarticular,non-antigravity,elbow flexor,,Upper arm,max MVC Tendon Force using relative (PCSA x MA),6,2,4,2,1,0,0,15,4128,Marchetta 2012,Image-based measurement of muscles parameters for the assessment of specific tension in elbow flexors, Italy,Cohort study,"Marchetta, E; Rastelli, F; Chiavaroli, S; Tresoldi, D; Cadioli, M; Falini, A; Rizzo, G; Lafortuna, CL",2012,GNB
4128,30,,,7,BRD,YNG ,M,V,,,,2106,,53.452,"MRI, CSA x slice interval",MRI muscle length x literature ratio,Literature value,,(Muscle vol/Fiber length)*cos(Î¸),max MVC,"MRI at rest, JA correction",Tendon Force using relative (PCSA x MA),Force/rPCSA,,,7,YNG,Normal,BRD,Brachioradialis,60/40,monoarticular,non-antigravity,elbow flexor,,Upper arm,max MVC Tendon Force using relative (PCSA x MA),6,2,4,2,1,0,0,15,4128,Marchetta 2012,Image-based measurement of muscles parameters for the assessment of specific tension in elbow flexors, Italy,Cohort study,"Marchetta, E; Rastelli, F; Chiavaroli, S; Tresoldi, D; Cadioli, M; Falini, A; Rizzo, G; Lafortuna, CL",2012,GNB
4128,30,,,9,BIC,YNG ,F,V,,,,2118.3,,50.476,"MRI, CSA x slice interval",MRI muscle length x literature ratio,Literature value,,(Muscle vol/Fiber length)*cos(Î¸),max MVC,"MRI at rest, JA correction",Tendon Force using relative (PCSA x MA),Force/rPCSA,,,7,YNG,Normal,BIC,Biceps Brachii,50/50,mixed,non-antigravity,elbow flexor,,Upper arm,max MVC Tendon Force using relative (PCSA x MA),6,2,4,2,1,0,0,15,4128,Marchetta 2012,Image-based measurement of muscles parameters for the assessment of specific tension in elbow flexors, Italy,Cohort study,"Marchetta, E; Rastelli, F; Chiavaroli, S; Tresoldi, D; Cadioli, M; Falini, A; Rizzo, G; Lafortuna, CL",2012,GNB
4128,30,,,9,BRA,YNG ,F,V,,,,783.6,,53.409,"MRI, CSA x slice interval",MRI muscle length x literature ratio,Literature value,,(Muscle vol/Fiber length)*cos(Î¸),max MVC,"MRI at rest, JA correction",Tendon Force using relative (PCSA x MA),Force/rPCSA,,,7,YNG,Normal,BRA,Brachialis,Fast,monoarticular,non-antigravity,elbow flexor,,Upper arm,max MVC Tendon Force using relative (PCSA x MA),6,2,4,2,1,0,0,15,4128,Marchetta 2012,Image-based measurement of muscles parameters for the assessment of specific tension in elbow flexors, Italy,Cohort study,"Marchetta, E; Rastelli, F; Chiavaroli, S; Tresoldi, D; Cadioli, M; Falini, A; Rizzo, G; Lafortuna, CL",2012,GNB
