,pmid,articletitle,journaltitle,abstract,pubYear,volume,issue,pages,doi,covidenceID,studyID,keywords
0,31817252.0,Maximizing Muscle Hypertrophy: A Systematic Review of Advanced Resistance Training Techniques and Methods.,Int J Environ Res Public Health,"BACKGROUND: Effective hypertrophy-oriented resistance training (RT) should comprise a combination of mechanical tension and metabolic stress. Regarding training variables, the most effective values are widely described in the literature. However, there is still a lack of consensus regarding the efficiency of advanced RT techniques and methods in comparison to traditional approaches. METHODS: MEDLINE and SPORTDiscus databases were searched from 1996 to September 2019 for all studies investigating the effects of advanced RT techniques and methods on muscle hypertrophy and training variables. Thirty articles met the inclusion criteria and were consequently included for the quality assessment and data extraction. RESULTS: Concerning the time-efficiency of training, the use of agonist-antagonist, upper-lower body supersets, drop and cluster sets, sarcoplasma stimulating training, employment of fast, but controlled duration of eccentric contractions (~2s), and high-load RT supplemented with low-load RT under blood flow restriction may provide an additional stimulus and an advantage to traditional training protocols. With regard to the higher degree of mechanical tension, the use of accentuated eccentric loading in RT should be considered. Implementation of drop sets, sarcoplasma stimulating training, low-load RT in conjunction with low-load RT under blood flow restriction could provide time-efficient solutions to increased metabolic stress. CONCLUSIONS: Due to insufficient evidence, it is difficult to provide specific guidelines for volume, intensity of effort, and frequency of previously mentioned RT techniques and methods. However, well-trained athletes may integrate advanced RT techniques and methods into their routines as an additional stimulus to break through plateaus and to prevent training monotony.",2019,16,24,,10.3390/ijerph16244897,#2636,Krzysztofik 2019,accentuated eccentric work
1,20400263.0,Pathophysiology and treatment of muscle tension dysphonia: a review of the current knowledge.,J Voice,"OBJECTIVE: Muscle tension dysphonia (MTD) is a clinical and diagnostic term describing a spectrum of disturbed vocal fold behavior caused by increased tension of the (para)laryngeal musculature. Recent knowledge introduced MTD as a bridge between functional and organic disorders. This review addresses the causal and contributing factors of MTD and evaluates the different treatment options. METHODS: We searched MEDLINE (Pubmed, 1950-2009) and CENTRAL (The Cochrane Library, Issue 2, 2009). Studies were included if they reviewed the classification of functional dysphonia or the pathophysiology of MTD. Etiology and pathophysiology of MTD and circumlaryngeal manual therapy (CMT) were obligatory based on reviews and prospective cohort studies because randomized controlled trials (RCTs) are nonexisting. Concerning the treatment options of voice therapy and vocal hygiene, selection was based on RCTs and systematic reviews. RESULTS: Etiological factors can be categorized into three new subgroups: (1) psychological and/or personality factors, (2) vocal misuse and abuse, and (3) compensation for underlying disease. The effective treatment options for MTD are (1) indirect therapy: vocal hygiene and patient education; (2) direct therapy: voice therapy and CMT; (3) medical treatment; and (4) surgery for secondary organic lesions. CONCLUSIONS: MTD is the pathological condition in which an excessive tension of the (para)laryngeal musculature, caused by a diverse number of etiological factors, leads to a disturbed voice. Etiological factors range from psychological/personality disorders and vocal misuse/abuse to compensatory vocal habits in case of laryngopharyngeal reflux, upper airway infections, and organic lesions. MTD needs to be approached in a multidisciplinary setting where close cooperation between a laryngologist and a speech language pathologist is possible.",2011,25,2,202-7,10.1016/j.jvoice.2009.10.009,#2637,VanHoutte 2011,
2,25249278.0,A review on the mechanisms of blood-flow restriction resistance training-induced muscle hypertrophy.,Sports Med,"It has traditionally been believed that resistance training can only induce muscle growth when the exercise intensity is greater than 65% of the 1-repetition maximum (RM). However, more recently, the use of low-intensity resistance exercise with blood-flow restriction (BFR) has challenged this theory and consistently shown that hypertrophic adaptations can be induced with much lower exercise intensities (<50% 1-RM). Despite the potent hypertrophic effects of BFR resistance training being demonstrated by numerous studies, the underlying mechanisms responsible for such effects are not well defined. Metabolic stress has been suggested to be a primary factor responsible, and this is theorised to activate numerous other mechanisms, all of which are thought to induce muscle growth via autocrine and/or paracrine actions. However, it is noteworthy that some of these mechanisms do not appear to be mediated to any great extent by metabolic stress but rather by mechanical tension (another primary factor of muscle hypertrophy). Given that the level of mechanical tension is typically low with BFR resistance exercise (<50% 1-RM), one may question the magnitude of involvement of these mechanisms aligned to the adaptations reported with BFR resistance training. However, despite the low level of mechanical tension, it is plausible that the effects induced by the primary factors (mechanical tension and metabolic stress) are, in fact, additive, which ultimately contributes to the adaptations seen with BFR resistance training. Exercise-induced mechanical tension and metabolic stress are theorised to signal a number of mechanisms for the induction of muscle growth, including increased fast-twitch fibre recruitment, mechanotransduction, muscle damage, systemic and localised hormone production, cell swelling, and the production of reactive oxygen species and its variants, including nitric oxide and heat shock proteins. However, the relative extent to which these specific mechanisms are induced by the primary factors with BFR resistance exercise, as well as their magnitude of involvement in BFR resistance training-induced muscle hypertrophy, requires further exploration.",2015,45,2,187-200,10.1007/s40279-014-0264-9,#2638,Pearson 2015,
3,17241104.0,The adaptations to strength training : morphological and neurological contributions to increased strength.,Sports Med,"High-resistance strength training (HRST) is one of the most widely practiced forms of physical activity, which is used to enhance athletic performance, augment musculo-skeletal health and alter body aesthetics. Chronic exposure to this type of activity produces marked increases in muscular strength, which are attributed to a range of neurological and morphological adaptations. This review assesses the evidence for these adaptations, their interplay and contribution to enhanced strength and the methodologies employed. The primary morphological adaptations involve an increase in the cross-sectional area of the whole muscle and individual muscle fibres, which is due to an increase in myofibrillar size and number. Satellite cells are activated in the very early stages of training; their proliferation and later fusion with existing fibres appears to be intimately involved in the hypertrophy response. Other possible morphological adaptations include hyperplasia, changes in fibre type, muscle architecture, myofilament density and the structure of connective tissue and tendons. Indirect evidence for neurological adaptations, which encompasses learning and coordination, comes from the specificity of the training adaptation, transfer of unilateral training to the contralateral limb and imagined contractions. The apparent rise in whole-muscle specific tension has been primarily used as evidence for neurological adaptations; however, morphological factors (e.g. preferential hypertrophy of type 2 fibres, increased angle of fibre pennation, increase in radiological density) are also likely to contribute to this phenomenon. Changes in inter-muscular coordination appear critical. Adaptations in agonist muscle activation, as assessed by electromyography, tetanic stimulation and the twitch interpolation technique, suggest small, but significant increases. Enhanced firing frequency and spinal reflexes most likely explain this improvement, although there is contrary evidence suggesting no change in cortical or corticospinal excitability. The gains in strength with HRST are undoubtedly due to a wide combination of neurological and morphological factors. Whilst the neurological factors may make their greatest contribution during the early stages of a training programme, hypertrophic processes also commence at the onset of training.",2007,37,2,145-68,10.2165/00007256-200737020-00004,#2639,Folland 2007,
4,16464122.0,Neural adaptations to resistive exercise: mechanisms and recommendations for training practices.,Sports Med,"It is generally accepted that neural factors play an important role in muscle strength gains. This article reviews the neural adaptations in strength, with the goal of laying the foundations for practical applications in sports medicine and rehabilitation. An increase in muscular strength without noticeable hypertrophy is the first line of evidence for neural involvement in acquisition of muscular strength. The use of surface electromyographic (SEMG) techniques reveal that strength gains in the early phase of a training regimen are associated with an increase in the amplitude of SEMG activity. This has been interpreted as an increase in neural drive, which denotes the magnitude of efferent neural output from the CNS to active muscle fibres. However, SEMG activity is a global measure of muscle activity. Underlying alterations in SEMG activity are changes in motor unit firing patterns as measured by indwelling (wire or needle) electrodes. Some studies have reported a transient increase in motor unit firing rate. Training-related increases in the rate of tension development have also been linked with an increased probability of doublet firing in individual motor units. A doublet is a very short interspike interval in a motor unit train, and usually occurs at the onset of a muscular contraction. Motor unit synchronisation is another possible mechanism for increases in muscle strength, but has yet to be definitely demonstrated. There are several lines of evidence for central control of training-related adaptation to resistive exercise. Mental practice using imagined contractions has been shown to increase the excitability of the cortical areas involved in movement and motion planning. However, training using imagined contractions is unlikely to be as effective as physical training, and it may be more applicable to rehabilitation. Retention of strength gains after dissipation of physiological effects demonstrates a strong practice effect. Bilateral contractions are associated with lower SEMG and strength compared with unilateral contractions of the same muscle group. SEMG magnitude is lower for eccentric contractions than for concentric contractions. However, resistive training can reverse these trends. The last line of evidence presented involves the notion that unilateral resistive exercise of a specific limb will also result in training effects in the unexercised contralateral limb (cross-transfer or cross-education). Peripheral involvement in training-related strength increases is much more uncertain. Changes in the sensory receptors (i.e. Golgi tendon organs) may lead to disinhibition and an increased expression of muscular force. Agonist muscle activity results in limb movement in the desired direction, while antagonist activity opposes that motion. Both decreases and increases in co-activation of the antagonist have been demonstrated. A reduction in antagonist co-activation would allow increased expression of agonist muscle force, while an increase in antagonist co-activation is important for maintaining the integrity of the joint. Thus far, it is not clear what the CNS will optimise: force production or joint integrity. The following recommendations are made by the authors based on the existing literature. Motor learning theory and imagined contractions should be incorporated into strength-training practice. Static contractions at greater muscle lengths will transfer across more joint angles. Submaximal eccentric contractions should be used when there are issues of muscle pain, detraining or limb immobilisation. The reversal of antagonists (antagonist-to-agonist) proprioceptive neuromuscular facilitation contraction pattern would be useful to increase the rate of tension development in older adults, thus serving as an important prophylactic in preventing falls. When evaluating the neural changes induced by strength training using EMG recording, antagonist EMG activity should always be measured and evaluated.",2006,36,2,133-49,10.2165/00007256-200636020-00004,#2640,Gabriel 2006,
5,26420238.0,Dose-Response Relationships of Resistance Training in Healthy Old Adults: A Systematic Review and Meta-Analysis.,Sports Med,"BACKGROUND: Resistance training (RT) is an intervention frequently used to improve muscle strength and morphology in old age. However, evidence-based, dose-response relationships regarding specific RT variables (e.g., training period, frequency, intensity, volume) are unclear in healthy old adults. OBJECTIVES: The aims of this systematic review and meta-analysis were to determine the general effects of RT on measures of muscle strength and morphology and to provide dose-response relationships of RT variables through an analysis of randomized controlled trials (RCTs) that could improve muscle strength and morphology in healthy old adults. DATA SOURCES: A computerized, systematic literature search was performed in the electronic databases PubMed, Web of Science, and The Cochrane Library from January 1984 up to June 2015 to identify all RCTs related to RT in healthy old adults. STUDY ELIGIBILITY CRITERIA: The initial search identified 506 studies, with a final yield of 25 studies. Only RCTs that examined the effects of RT in adults with a mean age of 65 and older were included. The 25 studies quantified at least one measure of muscle strength or morphology and sufficiently described training variables (e.g., training period, frequency, volume, intensity). STUDY APPRAISAL AND SYNTHESIS METHODS: We quantified the overall effects of RT on measures of muscle strength and morphology by computing weighted between-subject standardized mean differences (SMDbs) between intervention and control groups. We analyzed the data for the main outcomes of one-repetition maximum (1RM), maximum voluntary contraction under isometric conditions (MVC), and muscle morphology (i.e., cross-sectional area or volume or thickness of muscles) and assessed the methodological study quality by Physiotherapy Evidence Database (PEDro) scale. Heterogeneity between studies was assessed using I2 and χ2 statistics. A random effects meta-regression was calculated to explain the influence of key training variables on the effectiveness of RT in terms of muscle strength and morphology. For meta-regression, training variables were divided into the following subcategories: volume, intensity, and rest. In addition to meta-regression, dose-response relationships were calculated independently for single training variables (e.g., training frequency). RESULTS: RT improved muscle strength substantially (mean SMDbs = 1.57; 25 studies), but had small effects on measures of muscle morphology (mean SMDbs = 0.42; nine studies). Specifically, RT produced large effects in both 1RM of upper (mean SMDbs = 1.61; 11 studies) and lower (mean SMDbs = 1.76; 19 studies) extremities and a medium effect in MVC of lower (mean SMDbs = 0.76; four studies) extremities. Results of the meta-regression revealed that the variables ""training period"" (p = 0.04) and ""intensity"" (p < 0.01) as well as ""total time under tension"" (p < 0.01) had significant effects on muscle strength, with the largest effect sizes for the longest training periods (mean SMDbs = 2.34; 50-53 weeks), intensities of 70-79% of the 1RM (mean SMDbs = 1.89), and total time under tension of 6.0 s (mean SMDbs = 3.61). A tendency towards significance was found for rest in between sets (p = 0.06), with 60 s showing the largest effect on muscle strength (mean SMDbs = 4.68; two studies). We also determined the independent effects of the remaining training variables on muscle strength. The following independently computed training variables are most effective in improving measures of muscle strength: a training frequency of two sessions per week (mean SMDbs = 2.13), a training volume of two to three sets per exercise (mean SMDbs = 2.99), seven to nine repetitions per set (mean SMDbs = 1.98), and a rest of 4.0 s between repetitions (SMDbs = 3.72). With regard to measures of muscle morphology, the small number of identified studies allowed us to calculate meta-regression for the subcategory training volume only. No single training volume variable significantly predicted RT effects on measures of muscle morphology. Additional training variables were independently computed to detect the largest effect for the single training variable. A training period of 50-53 weeks, a training frequency of three sessions per week, a training volume of two to three sets per exercise, seven to nine repetitions per set, a training intensity from 51 to 69% of the 1RM, a total time under tension of 6.0 s, a rest of 120 s between sets, and a rest of 2.5 s between repetitions turned out to be most effective. LIMITATIONS: The current results must be interpreted with caution because of the poor overall methodological study quality (mean PEDro score 4.6 points) and the considerable large heterogeneity (I2) = 80%, χ2 = 163.1, df = 32, p < 0.01) for muscle strength. In terms of muscle morphology, our search identified nine studies only, which is why we consider our findings preliminary. While we were able to determine a dose-response relationship based on specific individual training variables with respect to muscle strength and morphology, it was not possible to ascertain any potential interactions between these variables. We recognize the limitation that the results may not represent one general dose-response relationship. CONCLUSIONS: This systematic literature review and meta-analysis confirmed the effectiveness of RT on specific measures of upper and lower extremity muscle strength and muscle morphology in healthy old adults. In addition, we were able to extract dose-response relationships for key training variables (i.e., volume, intensity, rest), informing clinicians and practitioners to design effective RTs for muscle strength and morphology. Training period, intensity, time under tension, and rest in between sets play an important role in improving muscle strength and morphology and should be implemented in exercise training programs targeting healthy old adults. Still, further research is needed to reveal optimal dose-response relationships following RT in healthy as well as mobility limited and/or frail old adults.",2015,45,12,1693-720,10.1007/s40279-015-0385-9,#2641,Borde 2015,
6,16700660.0,Physical fitness assessment: an update.,J Long Term Eff Med Implants,"The American College of Sports Medicine (ACSM) gives the following definition of health-related physical fitness: Physical fitness is defined as a set of attributes that people have or achieve that relates to the ability to perform physical activity. It is also characterized by (1) an ability to perform daily activities with vigor, and (2) a demonstration of traits and capacities that are associated with a low risk of premature development of hypokinetic diseases (e.g., those associated with physical inactivity). Information from an individual's health and medical records can be combined with information from physical fitness assessment to meet the specific health goals and rehabilitative needs of that individual. Attaining adequate informed consent from participants prior to exercise testing is mandatory because of ethical and legal considerations.A physical fitness assessment includes measures of body composition, cardiorespiratory endurance, muscular fitness, and musculoskeletal flexibility. The three common techniques for assessing body composition are hydrostatic weighing, and skinfold measurements, and anthropometric measurements. Cardiorespiratory endurance is a crucial component of physical fitness assessment because of its strong correlation with health and health risks. Maximal oxygen uptake (VO2max) is the traditionally accepted criterion for measuring cardiorespiratory endurance. Although maximal-effort tests must be used to measure VO2max, submaximal exercise can be used to estimate this value. Muscular fitness has historically been used to describe an individual's integrated status of muscular strength and muscular endurance. An individual's muscular strength is specific to a particular muscle or muscle group and refers to the maximal force (N or kg) that the muscle or muscle group can generate. Dynamic strength can be assessed by measuring the movement of an individual's body against an external load. Isokinetic testing may be performed by assessing the muscle tension generated throughout a range of motion at a constant angular velocity. The ability of a muscle group to perform repeated contractions over a specific period of time that is sufficient to cause fatigue is termed muscular endurance. Musculoskeletal flexibility evaluations focus on the joints and associated structures, ligaments, and muscles that cross the joints. The sit-and-reach test and the behind-the-back reach test satisfy many of the criteria for physical assessment of musculoskeletal flexibility. A physical fitness assessment must be integrated into all activities of daily living, as well as the physician's examination, to assess and promote health.",2006,16,2,193-204,10.1615/jlongtermeffmedimplants.v16.i2.90,#2642,Wilder 2006,
7,1791172.0,The determinants of skeletal muscle force and power: their adaptability with changes in activity pattern.,J Biomech,"A kinetic model of the cross-bridge cycle in skeletal muscle is presented with special reference to the rate limiting steps regulating the peak rate of force development (dP/dt), peak force (P0), and the maximal shortening speed (Vmax). Force production in skeletal muscle is dependent on the number of cross-bridges in the strongly bound, high-force state (AM'-ADP), and during a peak isometric contraction this state is the dominant cross-bridge form. The peak force and power output of a muscle depends upon numerous factors to include: (1) muscle and fiber size and length; (2) architecture, such as the angle and physical properties of the fiber-tendon attachment, and the fiber to muscle length ratio; (3) fiber type; (4) number of cross-bridges in parallel; (5) force per cross-bridge; (6) peak dP/dt; (7) force-velocity relationship; (8) fiber Vmax; (9) force-pCa2+ relationship: and (10) the force-frequency (action potential Hz) relationship. In this paper, we discuss these determinants of force and power output, and consider how they adapt to both muscle unloading (induced by hindlimb suspension) and programs of regular endurance exercise. Slow- and fast-twitch fibers have similar capacities to generate specific tension (kg cm-2). However, fast fibers show a considerably higher peak dP/dt, Vmax, and power output. The high Vmax of the fast-twitch fiber is likely due to the high myofibrillar ATPase activity of the fast myosin isozyme. Both hindlimb suspension and regular endurance exercise have been shown to induce fiber type specific changes in single fiber function. For example, fiber size and the peak tetanic tension of the slow oxidative (SO), fast oxidative glycolytic (FOG), and fast glycolytic (FG) fiber types were generally unaltered by endurance exercise-training. In contrast, hindlimb suspension produced cell atrophy in all fiber types and a reduced specific tension in the SO but not the FOG or FG fiber types. Both exercise-training and HS shifted the force-pCa curve to the right, and increased the Vmax of the SO fiber type. From the standpoint of work capacity or the ability to move a load, the important functional property is power output. Peak power is obtained at loads considerably below 50% of PO, and it is correlated with the percentage of fast-twitch fibers. Peak power can be increased by both dynamic and isometric programs of exercise-training.(ABSTRACT TRUNCATED AT 400 WORDS)",1991,24 Suppl 1,,111-22,10.1016/0021-9290(91)90382-w,#2643,Fitts 1991,
8,21142282.0,Developing maximal neuromuscular power: Part 1--biological basis of maximal power production.,Sports Med,"This series of reviews focuses on the most important neuromuscular function in many sport performances, the ability to generate maximal muscular power. Part 1 focuses on the factors that affect maximal power production, while part 2, which will follow in a forthcoming edition of Sports Medicine, explores the practical application of these findings by reviewing the scientific literature relevant to the development of training programmes that most effectively enhance maximal power production. The ability of the neuromuscular system to generate maximal power is affected by a range of interrelated factors. Maximal muscular power is defined and limited by the force-velocity relationship and affected by the length-tension relationship. The ability to generate maximal power is influenced by the type of muscle action involved and, in particular, the time available to develop force, storage and utilization of elastic energy, interactions of contractile and elastic elements, potentiation of contractile and elastic filaments as well as stretch reflexes. Furthermore, maximal power production is influenced by morphological factors including fibre type contribution to whole muscle area, muscle architectural features and tendon properties as well as neural factors including motor unit recruitment, firing frequency, synchronization and inter-muscular coordination. In addition, acute changes in the muscle environment (i.e. alterations resulting from fatigue, changes in hormone milieu and muscle temperature) impact the ability to generate maximal power. Resistance training has been shown to impact each of these neuromuscular factors in quite specific ways. Therefore, an understanding of the biological basis of maximal power production is essential for developing training programmes that effectively enhance maximal power production in the human.",2011,41,1,17-38,10.2165/11537690-000000000-00000,#2644,Cormie 2011,
9,23294691.0,Training principles for fascial connective tissues: scientific foundation and suggested practical applications.,J Bodyw Mov Ther,"Conventional sports training emphasizes adequate training of muscle fibres, of cardiovascular conditioning and/or neuromuscular coordination. Most sports-associated overload injuries however occur within elements of the body wide fascial net, which are then loaded beyond their prepared capacity. This tensional network of fibrous tissues includes dense sheets such as muscle envelopes, aponeuroses, as well as specific local adaptations, such as ligaments or tendons. Fibroblasts continually but slowly adapt the morphology of these tissues to repeatedly applied challenging loading stimulations. Principles of a fascia oriented training approach are introduced. These include utilization of elastic recoil, preparatory counter movement, slow and dynamic stretching, as well as rehydration practices and proprioceptive refinement. Such training should be practiced once or twice a week in order to yield in a more resilient fascial body suit within a time frame of 6-24 months. Some practical examples of fascia oriented exercises are presented.",2013,17,1,103-15,10.1016/j.jbmt.2012.06.007,#2645,Schleip 2013,
