PDF_ID	Calc	Assumptions
2745	"
To calculate the specific tension of the VL muscle in this study, the following steps were taken:
1. Measurement of torque: During MVCs, the torque generated by the VL muscle was measured using an isokinetic dynamometer (Biodex System 3, Biodex Medical Systems Inc., Shirley, NY). The torque was recorded in Nm.
2. Calculation of muscle force: The force generated by the VL muscle was calculated by dividing the torque by the moment arm (MA) of the VL muscle (MA = 0.11 m). The force was recorded in N.
3. Measurement of PCSA: The PCSA of the VL muscle was calculated by dividing the muscle volume by the optimum FL (measured at optimal angle during MVC). The muscle volume was measured using ultrasound imaging (Logiq E9, GE Healthcare, Milwaukee, WI). The optimum FL was measured during MVCs at the same site used for muscle architecture measurements. The PCSA was recorded in cm².
4. Calculation of specific tension: The specific tension of the VL muscle was calculated by dividing the VL fascicle force (calculated in step 2) by the VL PCSA (calculated in step 3). The specific tension was recorded in N/cm².
5. Statistical analysis: All statistics were calculated using the software pack SPSS 23 (IBM Corp, Armonk, NY). Descriptive data were presented as the mean ± SD, unless otherwise stated. The assumption of normality was verified using the Shapiro–Wilk test."	"

There are no weaknesses in the calculation of specific tension mentioned in the given context information. The calculation involves dividing the VL fascicle force by the VL PCSA (Maga-naris et al., 2001; Narici et al., 1992), which was calculated by dividing the muscle volume by the optimum FL (measured at optimal angle during MVC). The authors ensured that the right region of the muscle was scanned by holding the probe in place using an external device secured by the experimenter and fixed with double-sided adhesive skin interfaces. The use of an echo-absorptive external marker ensured that no probe movement occurred in relation to the digitized structure. The statistical analyses were performed using the software pack SPSS 23 (IBM Corp, Armonk, NY). The assumption of normality was verified using the Shapiro–Wilk test. Therefore, there are no weaknesses in the calculation of specific tension mentioned in the study's methodology."
2649	"

To calculate specific tension using Method 1 in this study, the following steps were taken:
1. Measurement of torque: The maximum voluntary torque (MVT) was measured using an isokinetic dynamometer (Cybex Norm, Medway, UK) at an angular velocity of 60°s?1. The torque was measured in Nm.
2. Calculation of patellar tendon force: The patellar tendon force (Ft) was calculated using the following formula:
Ft = (MVT × dPT × cos?) / Lf
where dPT is the patellar tendon moment arm (0.16 m), cos? is the cosine of the angle between the line of action of the quadriceps force and the patellar tendon moment arm (assumed to be 90°), and Lf is the optimum fascicle length (measured using ultrasound).
3. Calculation of QF PCSA: The PCSA of each of the four constituent muscles (VL, VLF, RF, and VM) was calculated using the following formula:
PCSA = (ACSA × Lm) / Lf
where ACSA is the cross-sectional area (measured using ultrasound), Lm is the muscle length (measured using ultrasound), and Lf is the optimum fascicle length (measured using ultrasound). The QF PCSA was calculated by summing the PCSA of each of the four constituent muscles.
4. Calculation of specific tension: Specific tension was calculated using the following formula:
Specific tension = (Ft × Lf) / QF PCSA
where Ft is the patellar tendon force (calculated in step 2), Lf is the optimum fascicle length (measured using ultrasound), and QF PCSA is the PCSA of the QF (calculated in step 3)."	"
The study acknowledges that ACSA underestimates the PCSA of pennate muscles and net joint torque does not give a true representation of the maximum force generated by the muscle. Therefore, ACSA and MVC may give a false indication of the muscle size-strength relationship and the nature of any training-induced changes (Kawakami et al., 1995). This highlights a weakness in the calculation of specific tension using ACSA and MVC measurements, as they may not accurately reflect the true muscle size-strength relationship."
2648	"

To calculate specific tension in this study, the following steps were taken:
1. Measurement of torque: The torque was measured using a custom-built dynamometer system. The torque was calculated by multiplying the force by the moment arm length.
2. Calculation of fascicle force: The fascicle force was calculated by subtracting the tendon force from the total force measured by the dynamometer system. The tendon force was calculated by multiplying the tendon force angle (cos?) by the tendon force measured by the dynamometer system.
3. Calculation of PCSA: The PCSA was calculated by dividing the muscle volume by the optimal fascicle length. The muscle volume was calculated by multiplying the muscle length by the muscle width by the muscle depth. The optimal fascicle length was calculated by dividing the muscle length by the pennation angle (cos?).
4. Calculation of specific tension: Specific tension was calculated by dividing the fascicle force by the PCSA. The formula for specific tension is:
Speci?c tension = (tendon force × cos??1) / PCSA (3)
5. Incorporating size and architecture measurements: To minimize errors associated with distributing the tendon force between separate heads, the PCSA × cos? of the entire quadriceps muscle was calculated by summing the PCSA × cos? of each quadriceps head.
6. Calculation of specific tension for the entire quadriceps muscle: The specific tension for the entire quadriceps muscle was calculated by dividing the fascicle force by the PCSA × cos? of the entire quadriceps muscle."	"

The study by Morse et al. (2008) that calculated the specific tension of in vivo children's muscle using the PCSA made several assumptions in the calculation of muscle force. These assumptions were not explicitly mentioned in the provided context information, but the authors acknowledged and discussed them in their study. However, the weakness in calculation of specific tension in this study was not explicitly stated in the provided context information either. Therefore, it cannot be determined from the given context whether there were weaknesses in measuring muscle volume or force in this study."
3042	"
To calculate specific tension (muscle force per CSA), we need to measure torque (?), force (F), and physiological cross-sectional area (PCSA). Here are the steps:
1. Calculate the moment arm (r) of the muscle being tested. This is the distance from the axis of rotation to the line of action of the force being applied to the muscle.
2. Calculate the force (F) being applied to the muscle by dividing the measured torque (?) by the moment arm (r).
3. Calculate the physiological cross-sectional area (PCSA) of the muscle being tested by dividing the muscle volume (V) by the length of the muscle fibers (L).
4. Calculate the specific tension (ST) by dividing the force (F) by the physiological cross-sectional area (PCSA).
5. Express the specific tension in Newtons per square centimeter (N/cm2) or Pascals (Pa).

For example:
Let's say we're testing the biceps brachii muscle in the elbow joint. The measured torque (?) is 20 Nm, the moment arm (r) is 5 cm, the muscle volume (V) is 1000 cm3, and the length of the muscle fibers (L) is 50 cm.
1. Calculate the force (F) being applied to the muscle: F = ? / r = 20 Nm / 5 cm = 4000 N (or 4 kN)
2. Calculate the physiological cross-sectional area (PCSA) of the muscle: PCSA = V / L = 1000 cm3 / (50 cm * ? * (1 cm / 2)2) = 10 cm2 (or 10000 mm2)
3. Calculate the specific tension (ST): ST = F / PCSA = 4000 N / 10 cm2 = 400 N/cm2 (or 400 kPa)

Note: The specific tension value obtained from this calculation may vary depending on the muscle being tested, the measurement techniques used, and other factors such as muscle fiber type and tendon stress/strain."	"

The study highlights a weakness in calculating specific tension due to the variability of PCSA values being so large that even if the correct value representing force per PCSA was known, a wide range of muscle force solutions would result depending on the muscle size chosen (6). This suggests that the assumption that a muscle's ability to generate force is directly proportional to its size may be tenuous indeed. Additionally, the study notes that obtaining values for architectural factors such as pennation angle of fibers, number of sarcomeres in series, fibre type, tendon stress and strain on living subjects to be applied to modeling situations is not currently possible. Therefore, assumptions must be made about these factors when estimating the force of a muscle. These assumptions may contribute to weaknesses in the calculation of specific tension."
4135	"

To calculate specific tension (speci Wc), the following steps were taken:
1. During each maximal voluntary contraction (MVC) and twitch-doublet, torque was measured using an isokinetic dynamometer.
2. The sum of the torque generated during the strongest MVC and that of the twitch-doublet was considered at the true maximal MVC and used for the calculation of speci Wc tension.
3. The PCSA (physiological cross-sectional area) of the gastrocnemius (GL) muscle was calculated by dividing the muscle volume by the muscle length.
4. The relative PCSA of the GL within the triceps surae was calculated by dividing the PCSA of the GL by the total PCSA of the triceps surae muscle group.
5. The GL component of the Achilles tendon force was estimated by multiplying the relative PCSA of the GL by the total tendon force of the PF group.
6. Specific tension (speci Wc) was calculated by dividing the GL component of the Achilles tendon force by the PCSA of the GL muscle."	"

One weakness in calculating specific tension in this study is the normalization of strength to a single mid-muscle ACSA at 50% muscle length. This may lead to an overestimation of hypertrophy throughout the muscle and an underestimation of the MVC/ACSA. This is because the ACSA at 25% and 75% of the muscle length increased by smaller amounts (22% and 9%, respectively) compared to the ACSA at 50% muscle length (29%). Therefore, using a single mid-muscle ACSA to normalize strength may not accurately reflect the hypertrophy along the muscle's length."
4070	"
To calculate specific tension (specific force) for the VL muscle in this study, the following steps were taken:
1. Calculate the maximal voluntary torque (MVT) at the knee joint angle of 70° before and after training using an isokinetic dynamometer.
2. Calculate the H11001 superimposed stimulation torque (H11001 SIT) at the same knee joint angle of 70° before and after training using an isokinetic dynamometer with H11001 nerve stimulation.
3. Calculate the fascicle force (FF) at the knee joint angle of 70° before and after training by dividing the H11001 SIT by the number of active motor units (MUs) in the VL muscle. This calculation assumes that all MUs in the VL muscle are activated during H11001 SIT.
4. Calculate the physiological cross-sectional area (PCSA) of the VL muscle using the formula: PCSA = muscle volume / fascicle length (assuming a muscle model that is cylindrical in shape with fibers of constant length).
5. Calculate the specific tension (specific force) of the VL muscle at the knee joint angle of 70° before and after training by dividing the FF by the PCSA.
6. Repeat steps 1-5 for the control group to compare the results with the training group."	"
The weakness in calculation of specific tension in previous attempts to assess alterations in specific force with strength training in elderly humans lies in errors in measuring muscle force and volume. Instead of measuring muscle force directly, joint torque or weight lifting capacity has been used, which does not accurately reflect only the agonist muscle forces (25). Furthermore, a single anatomic cross-sectional area (ACSA) has typically been used to normalize strength measurements to muscle size (44, 49), but this approach seems inappropriate because ACSA does not take into account muscle geometry and training-induced changes thereof (35), thus underestimating the PCSA of a pennate muscle (1, 16, 21). Additionally, a single ACSA is typically assessed in the midregion of a muscle, which has been reported as the region displaying the greatest increase in ACSA following training (46) and would thus lead to overestimation of hypertrophy."
4127	"
To calculate specific tension in this study, the following steps can be taken:
1. Measure the torque (TQ) produced by the muscle during a specific task (e.g., knee extension) using an isokinetic dynamometer.
2. Calculate the muscle force (F) by dividing the TQ by the moment arm (MA) of the joint (MA = distance from the joint axis to the line of action of the force).
3. Determine the muscle volume (MV) using imaging techniques such as magnetic resonance imaging (MRI) or computed tomography (CT) scans.
4. Calculate the pennation angle (PA) of the muscle fibers by measuring the angle between the muscle fibers and the line of action of the force.
5. Calculate the physiological cross-sectional area (PCSA) of the muscle by dividing the MV by the PA (PCSA = MV/PA).
6. Calculate the specific tension (ST) by dividing the muscle force (F) by the PCSA (ST = F/PCSA).
7. Repeat steps 1-6 for each muscle being studied to obtain specific tension values for each muscle.
8. Compare the specific tension values between different muscles or between different populations (e.g., elderly vs. young) to determine differences in muscle strength per size."	"

The study mentioned in the context information highlights the methodological differences in measuring muscle size, specifically the anatomical and physiological cross-sectional area (ACSA and PCSA) and muscle volume (MV). Theoretically, the specific tension of a muscle is determined by dividing muscle force (F) by PCSA. However, to calculate PCSA, MV, muscle fiber length, and fiber pennation angle must be determined, which can be challenging to measure in vivo, particularly in large population surveys. Therefore, some researchers have used joint torque per MV (TQ/MV) or muscle mass as an index of muscle strength per size. This idea is based on the assumption that the MV-TQ relationship is equivalent to the PCSA-F relationship if one assumes an identical muscle fiber/moment arm ratio for different individuals. However, weaknesses in calculating specific tension may exist due to assumptions in measuring muscle force or volume, which can affect the accuracy of the calculation."
2664	"
To calculate specific tension, the following steps can be followed:
1. Measure the maximal torque (TMT) during an isometric contraction of the muscle group of interest.
2. Calculate the maximal force (Ft) resolved at the patellar tendon using the formula: Ft=TMT×d?1/PT, where d is the distance from the center of the patellar tendon to the center of the rotational axis of the joint (in this case, the knee joint), and PT is the patellar tendon length (in this case, the distance from the center of the patellar tendon to the center of the femoral condyles).
3. Determine the physiological cross-sectional area (PCSA) of the muscle group of interest using a previously described method (Erskine et al., 2009). This involves measuring the femur length (FL) and the anatomical cross-sectional area (ACSA) of each component QF muscle using transverse MRI scans at 40% FL. The ACSA of each constituent QF muscle and a series of regression equations are used to estimate QF volume (Vm). The PCSA can then be calculated by dividing the Vm by the FL.
4. Calculate specific tension by dividing the maximal force (Ft) by the physiological cross-sectional area (PCSA).

In this study, the sarcomere length was set at 2.6?m, and the ?bre CSA (fCSA) was determined while the ?bre was suspended in air, assuming a circular shape, and correction was made for swelling. Before maximal activation in a solution with pCa 4.5, the ?bre segment was transferred to a solution with less EGTA than the relaxingsolution for at least 30 s. The maximal isometric force (Po) was recorded, and ?bres were excluded if the force declined before reaching a plateau or if the sarcomere length had changed by >0.1?m. A total of 142 ?bres fulfilled these criteria (75 before and 67 ?bres after training)."	"

The study did not mention any weaknesses in the calculation of specific tension in terms of assumptions in measuring muscle force or volume. However, it did mention that the determination of QF muscle specific tension from measurements of all four of the constituent muscles is time-consuming and difficult to use with large numbers of subjects. Therefore, the study used an alternative methodology that relies on measuring the anatomical cross-sectional area (ACSA) of the QF muscle, together with the fascicle length and pennation angle of the VL muscle to estimate whole-muscle specific tension in vivo. This methodology has been shown to be reliable in young, untrained, healthy men (Erskine et al., 2009). The study aimed to determine whether an expected increase in whole-muscle specific tension following resistance training could be explained by changes in muscle MyHC isoform composition and single-fiber specific tension or whether there is any evidence for a change in lateral force transmission."
2653	"
To calculate specific tension for this study, the following steps were taken:
1. Calculate QF PCSA by dividing the estimated QF volume by VL Lf (Erskine et al., 2009). The CV and ICC for this measurement are 5.0% and 0.90 (0.70–0.97), respectively (Erskine et al., 2009).
2. Multiply QF PCSA by the cosine of the VL hp to provide the reduced QF PCSA (Erskine et al., 2009). This approximation of the hp for the whole QF muscle can be used since the force generated by the QF muscle is reduced according to the hpwhen resolved along the tendon.
3. Divide force by the reduced QF PCSA to provide QF specific tension (Erskine et al., 2009). The CV and ICC for this measurement are 9.1% and 0.69 (0.26–0.89), respectively (Erskine et al., 2009).
Note: In this study, muscle PCSA was calculated by dividing muscle volume by fascicle length (Alexander and Vernon, 1975; Haxton, 1944; Maganaris et al., 2001; Reeves et al., 2004), with the latter measured during MVC in the mid-sagittal plane of the central portion of the muscle."	"

The study acknowledges that certain assumptions were made in the calculation of in vivo muscle PCSA, which might have affected the estimation of specific tension. One of the assumptions made was that the muscle was cylindrical in shape and that its fascicles were a constant length. Previous in vivo and cadaveric findings support this assumption for human muscles. However, the lack of relationship between the changes in muscle force and PCSA after training could also be due to other factors that were not addressed in this study. Therefore, the weakness in the calculation of specific tension could be the potential inaccuracy in measuring muscle force and volume due to the assumptions made in this study."
2899	"

To calculate specific tension for this study, the following steps need to be taken:
1. Measure the maximal isometric torque (Nm) using the strain gauge inserted in the cable and the photocells placed at 100"" and 110"" of elbow flexion (full extension of elbow joint = 180"").
2. Calculate the maximal isometric force (N) by multiplying the maximal isometric torque by the cosine of the angle of the lever arm (distance from elbow joint to handgrip) in radians (Nm/rad).
3. Calculate the cross-sectional area (PCSA) of the muscle in the flexed position using the formula: PCSA = (0.038 m x 0.35 m) x (31% for m. biceps brachii + 30% for m. brachialis) x (1 + 0.34) x (1/11 for m. biceps brachii + 1/8 for m. brachialis) x (1/1000) (see context information for details).
4. Calculate the specific tension (N/cm2) by dividing the maximal isometric force by the PCSA (N/cm2)."	"
The calculation of specific tension in this study assumes a ratio of Ef (extrafusal) to Ei (intrafusal) fiber number for all subjects between the moment arm and the lever arm for both m. biceps brachii and m. brachialis. This ratio is based on the values reported by Edgerton et al. (1986) for young subjects, which may not be applicable to older subjects in this study. Additionally, the study assumes a 31% contribution to total force output by m. biceps brachii and a 30% contribution by m. brachialis (Edgerton et al., 1986), which may also vary between subjects. Furthermore, the study assumes an increase of 34% in the cross-sectional area in the flexed position for both m. biceps brachii and m. brachialis (Ikai & Fukunaga, 1968), which may not be accurate for all subjects in this study. These assumptions may introduce errors in the calculation of specific tension for m. biceps brachii and m. brachialis in this study."
